sample,gene,cts
Line 1_A_1,WSP,18.099
Line 1_A_1,WSP,17.622
Line 1_A_1,RPL32,27.223
Line 1_A_1,RPL32,27.121
Line 1_A_2,WSP,18.646
Line 1_A_2,WSP,18.582
Line 1_A_2,RPL32,26.534
Line 1_A_2,RPL32,26.504
Line 1_A_3,WSP,18.718
Line 1_A_3,WSP,18.685
Line 1_A_3,RPL32,26.845
Line 1_A_3,RPL32,26.935
Line 1_A_4,WSP,18.405
Line 1_A_4,WSP,18.153
Line 1_A_4,RPL32,26.649
Line 1_A_4,RPL32,26.5
Line 1_A_5,WSP,17.775
Line 1_A_5,WSP,17.768
Line 1_A_5,RPL32,26.495
Line 1_A_5,RPL32,26.548
Line 1_B_1,WSP,17.52
Line 1_B_1,WSP,17.604
Line 1_B_1,RPL32,26.609
Line 1_B_1,RPL32,26.467
Line 1_B_2,WSP,18.883
Line 1_B_2,WSP,18.761
Line 1_B_2,RPL32,26.284
Line 1_B_2,RPL32,26.381
Line 1_B_3,WSP,18.641
Line 1_B_3,WSP,18.633
Line 1_B_3,RPL32,27.102
Line 1_B_3,RPL32,27.006
Line 1_B_4,WSP,18.256
Line 1_B_4,WSP,18.378
Line 1_B_4,RPL32,26.709
Line 1_B_4,RPL32,26.743
Line 1_B_5,WSP,18.596
Line 1_B_5,WSP,18.504
Line 1_B_5,RPL32,25.917
Line 1_B_5,RPL32,25.899
Control_A_1,WSP,21.166
Control_A_1,WSP,21.171
Control_A_1,RPL32,26.281
Control_A_1,RPL32,26.189
Control_A_2,WSP,20.822
Control_A_2,WSP,20.743
Control_A_2,RPL32,26.242
Control_A_2,RPL32,26.429
Control_A_3,WSP,21.445
Control_A_3,WSP,21.399
Control_A_3,RPL32,26.213
Control_A_3,RPL32,26.335
Control_A_4,WSP,20.959
Control_A_4,WSP,20.974
Control_A_4,RPL32,26.094
Control_A_4,RPL32,26.056
Control_A_5,WSP,20.792
Control_A_5,WSP,20.81
Control_A_5,RPL32,26.448
Control_A_5,RPL32,26.369
Line 2_A_1,WSP,17.752
Line 2_A_1,WSP,17.725
Line 2_A_1,RPL32,26.481
Line 2_A_1,RPL32,26.423
Line 2_A_2,WSP,17.621
Line 2_A_2,WSP,17.533
Line 2_A_2,RPL32,26.306
Line 2_A_2,RPL32,26.384
Line 2_A_3,WSP,17.784
Line 2_A_3,WSP,17.524
Line 2_A_3,RPL32,27.015
Line 2_A_3,RPL32,26.869
Line 2_A_4,WSP,17.341
Line 2_A_4,WSP,17.433
Line 2_A_4,RPL32,26.345
Line 2_A_4,RPL32,26.295
Line 2_A_5,WSP,17.343
Line 2_A_5,WSP,17.319
Line 2_A_5,RPL32,26.691
Line 2_A_5,RPL32,26.625
Line 2_B_1,WSP,17.32
Line 2_B_1,WSP,17.32
Line 2_B_1,RPL32,26.126
Line 2_B_1,RPL32,26.157
Line 2_B_2,WSP,17.56
Line 2_B_2,WSP,17.401
Line 2_B_2,RPL32,27.104
Line 2_B_2,RPL32,27.011
Line 2_B_3,WSP,17.111
Line 2_B_3,WSP,17.133
Line 2_B_3,RPL32,26.345
Line 2_B_3,RPL32,26.481
Line 2_B_4,WSP,17.292
Line 2_B_4,WSP,17.287
Line 2_B_4,RPL32,26.513
Line 2_B_4,RPL32,26.345
Line 2_B_5,WSP,17.682
Line 2_B_5,WSP,17.528
Line 2_B_5,RPL32,26.754
Line 2_B_5,RPL32,26.404
