gene,cts,sample,plate,experimental_replicate,temperature
WSP,26.802,POP2L_A_10,1,1,18
WSP,23.465,POP2H_C_1,1,1,18
WSP,26.207,POP2L_B_2,1,1,18
WSP,26.294,POP2L_B_2,1,1,18
WSP,22.772,POP2L_F_2,1,1,18
WSP,22.444,POP2L_F_2,1,1,18
WSP,20.866,POP2H_D_2,1,1,18
WSP,20.973,POP2H_D_2,1,1,18
WSP,24.539,CSB_A_2,1,1,18
WSP,24.512,CSB_A_2,1,1,18
WSP,23.032,OCTO_B_1,1,1,18
WSP,26.6,POP2L_A_10,1,1,18
WSP,23.253,OCTO_B_1,1,1,18
WSP,22.974,OCTO_B_2,1,1,18
WSP,22.849,OCTO_B_2,1,1,18
WSP,23.757,POPH_B_1,1,1,18
WSP,24.238,POPH_B_1,1,1,18
WSP,21.929,POP2H_D_10,1,1,18
WSP,22.229,POP2H_D_10,1,1,18
WSP,24.129,POPH_C_9,1,1,18
WSP,24.282,POPH_C_9,1,1,18
WSP,25.713,CSB_C_1,1,1,18
WSP,25.837,CSB_C_1,1,1,18
WSP,23.43,POP2H_C_1,1,1,18
WD0513,22.988,POP2L_A_10,1,1,18
WD0513,17.2,POP2H_C_1,1,1,18
WD0513,22.77,POP2L_B_2,1,1,18
WD0513,22.937,POP2L_B_2,1,1,18
WD0513,18.908,POP2L_F_2,1,1,18
WD0513,18.72,POP2L_F_2,1,1,18
WD0513,16.043,POP2H_D_2,1,1,18
WD0513,15.835,POP2H_D_2,1,1,18
WD0513,22.651,CSB_A_2,1,1,18
WD0513,22.835,CSB_A_2,1,1,18
WD0513,NA,OCTO_B_1,1,1,18
WD0513,23.227,POP2L_A_10,1,1,18
WD0513,NA,OCTO_B_1,1,1,18
WD0513,NA,OCTO_B_2,1,1,18
WD0513,NA,OCTO_B_2,1,1,18
WD0513,19.279,POPH_B_1,1,1,18
WD0513,19.185,POPH_B_1,1,1,18
WD0513,17.413,POP2H_D_10,1,1,18
WD0513,17.433,POP2H_D_10,1,1,18
WD0513,19.418,POPH_C_9,1,1,18
WD0513,19.484,POPH_C_9,1,1,18
WD0513,24.163,CSB_C_1,1,1,18
WD0513,24.122,CSB_C_1,1,1,18
WD0513,18.232,POP2H_C_1,1,1,18
WSP,26.603,POPL_B_2,1,1,18
WSP,21.326,POPL_F_1,1,1,18
WSP,21.713,POPL_D_2,1,1,18
WSP,21.6,POPL_D_2,1,1,18
WSP,23.637,POPL_F_2,1,1,18
WSP,23.354,POPL_F_2,1,1,18
WSP,25.802,CSB_B_2,1,1,18
WSP,26.296,CSB_B_2,1,1,18
WSP,24.986,POP2L_A_1,1,1,18
WSP,24.678,POP2L_A_1,1,1,18
WSP,21.218,POP2H_C_2,1,1,18
WSP,26.337,POPL_B_2,1,1,18
WSP,21.427,POP2H_C_2,1,1,18
WSP,25.828,POPL_A_9,1,1,18
WSP,25.395,POPL_A_9,1,1,18
WSP,19.702,POP2H_F_2,1,1,18
WSP,20.154,POP2H_F_2,1,1,18
WSP,25.158,POPL_C_2,1,1,18
WSP,25.306,POPL_C_2,1,1,18
WSP,25.755,POPL_B_1,1,1,18
WSP,25.908,POPL_B_1,1,1,18
WSP,27.792,CSB_A_9,1,1,18
WSP,27.813,CSB_A_9,1,1,18
WSP,21.673,POPL_F_1,1,1,18
WD0513,22.799,POPL_B_2,1,1,18
WD0513,17.519,POPL_F_1,1,1,18
WD0513,16.425,POPL_D_2,1,1,18
WD0513,16.434,POPL_D_2,1,1,18
WD0513,18.916,POPL_F_2,1,1,18
WD0513,19.358,POPL_F_2,1,1,18
WD0513,24.542,CSB_B_2,1,1,18
WD0513,23.817,CSB_B_2,1,1,18
WD0513,21.605,POP2L_A_1,1,1,18
WD0513,21.165,POP2L_A_1,1,1,18
WD0513,16.412,POP2H_C_2,1,1,18
WD0513,23.075,POPL_B_2,1,1,18
WD0513,16.132,POP2H_C_2,1,1,18
WD0513,21.798,POPL_A_9,1,1,18
WD0513,21.935,POPL_A_9,1,1,18
WD0513,14.498,POP2H_F_2,1,1,18
WD0513,14.635,POP2H_F_2,1,1,18
WD0513,21.808,POPL_C_2,1,1,18
WD0513,21.639,POPL_C_2,1,1,18
WD0513,22.213,POPL_B_1,1,1,18
WD0513,22.319,POPL_B_1,1,1,18
WD0513,26.546,CSB_A_9,1,1,18
WD0513,26.481,CSB_A_9,1,1,18
WD0513,18.1,POPL_F_1,1,1,18
WSP,24.643,OCTO_A_1,1,1,18
WSP,22.436,POPL_E_2,1,1,18
WSP,23.159,POP2L_F_1,1,1,18
WSP,22.927,POP2L_F_1,1,1,18
WSP,25.028,OCTO_A_2,1,1,18
WSP,24.907,OCTO_A_2,1,1,18
WSP,19.201,OCTO_E_1,1,1,18
WSP,19.688,OCTO_E_1,1,1,18
WSP,26.517,CSB_C_2,1,1,18
WSP,26.493,CSB_C_2,1,1,18
WSP,23.488,CSB_F_2,1,1,18
WSP,24.349,OCTO_A_1,1,1,18
WSP,23.78,CSB_F_2,1,1,18
WSP,18.957,OCTO_E_2,1,1,18
WSP,18.648,OCTO_E_2,1,1,18
WSP,26.142,CSB-REF_A_1,1,1,18
WSP,26.374,CSB-REF_A_1,1,1,18
WSP,21.359,POPH_F_2,1,1,18
WSP,21.462,POPH_F_2,1,1,18
WSP,21.625,POP2H_E_1,1,1,18
WSP,21.823,POP2H_E_1,1,1,18
WSP,22.274,OCTO_C_2,1,1,18
WSP,22.31,OCTO_C_2,1,1,18
WSP,22.448,POPL_E_2,1,1,18
WD0513,NA,OCTO_A_1,1,1,18
WD0513,18.687,POPL_E_2,1,1,18
WD0513,19.43,POP2L_F_1,1,1,18
WD0513,19.06,POP2L_F_1,1,1,18
WD0513,NA,OCTO_A_2,1,1,18
WD0513,NA,OCTO_A_2,1,1,18
WD0513,NA,OCTO_E_1,1,1,18
WD0513,NA,OCTO_E_1,1,1,18
WD0513,24.514,CSB_C_2,1,1,18
WD0513,24.858,CSB_C_2,1,1,18
WD0513,22.495,CSB_F_2,1,1,18
WD0513,NA,OCTO_A_1,1,1,18
WD0513,21.806,CSB_F_2,1,1,18
WD0513,NA,OCTO_E_2,1,1,18
WD0513,NA,OCTO_E_2,1,1,18
WD0513,24.419,CSB-REF_A_1,1,1,18
WD0513,24.454,CSB-REF_A_1,1,1,18
WD0513,16.393,POPH_F_2,1,1,18
WD0513,16.463,POPH_F_2,1,1,18
WD0513,16.298,POP2H_E_1,1,1,18
WD0513,16.662,POP2H_E_1,1,1,18
WD0513,NA,OCTO_C_2,1,1,18
WD0513,NA,OCTO_C_2,1,1,18
WD0513,18.872,POPL_E_2,1,1,18
WSP,24.481,POP2H_B_2,1,1,18
WSP,23.834,POP2H_B_1,1,1,18
WSP,21.874,POPH_E_2,1,1,18
WSP,21.602,POPH_E_2,1,1,18
WSP,24.669,CSB_F_10,1,1,18
WSP,24.838,CSB_F_10,1,1,18
WSP,22.074,POPH_C_1,1,1,18
WSP,22.286,POPH_C_1,1,1,18
WSP,23.508,CSB_F_1,1,1,18
WSP,23.21,CSB_F_1,1,1,18
WSP,24.187,POP2L_B_1,1,1,18
WSP,24.141,POP2H_B_2,1,1,18
WSP,24.427,POP2L_B_1,1,1,18
WSP,23.975,POP2L_E_2,1,1,18
WSP,23.593,POP2L_E_2,1,1,18
WSP,25.984,CSB-REF_A_2,1,1,18
WSP,26.252,CSB-REF_A_2,1,1,18
WSP,25.097,CSB_D_2,1,1,18
WSP,24.973,CSB_D_2,1,1,18
WSP,24.905,CSB_D_1,1,1,18
WSP,25.116,CSB_D_1,1,1,18
WSP,19.161,OCTO_F_1,1,1,18
WSP,19.068,OCTO_F_1,1,1,18
WSP,23.62,POP2H_B_1,1,1,18
WD0513,19.221,POP2H_B_2,1,1,18
WD0513,18.278,POP2H_B_1,1,1,18
WD0513,17.477,POPH_E_2,1,1,18
WD0513,17.184,POPH_E_2,1,1,18
WD0513,22.459,CSB_F_10,1,1,18
WD0513,22.777,CSB_F_10,1,1,18
WD0513,16.881,POPH_C_1,1,1,18
WD0513,16.989,POPH_C_1,1,1,18
WD0513,21.184,CSB_F_1,1,1,18
WD0513,21.626,CSB_F_1,1,1,18
WD0513,21.361,POP2L_B_1,1,1,18
WD0513,19.378,POP2H_B_2,1,1,18
WD0513,20.853,POP2L_B_1,1,1,18
WD0513,20.092,POP2L_E_2,1,1,18
WD0513,20.12,POP2L_E_2,1,1,18
WD0513,24.362,CSB-REF_A_2,1,1,18
WD0513,24.557,CSB-REF_A_2,1,1,18
WD0513,23.265,CSB_D_2,1,1,18
WD0513,23.296,CSB_D_2,1,1,18
WD0513,23.298,CSB_D_1,1,1,18
WD0513,23.362,CSB_D_1,1,1,18
WD0513,NA,OCTO_F_1,1,1,18
WD0513,NA,OCTO_F_1,1,1,18
WD0513,18.385,POP2H_B_1,1,1,18
WSP,26.098,CSB_A_1,1,1,18
WSP,23.191,POPH_A_1,1,1,18
WSP,19.54,OCTO_D_9,1,1,18
WSP,19.316,OCTO_D_9,1,1,18
WSP,21.187,POPH_F_1,1,1,18
WSP,20.757,POPH_F_1,1,1,18
WSP,21.531,POP2H_D_1,1,1,18
WSP,22.178,POP2H_D_1,1,1,18
WSP,24.188,POP2H_A_2,1,1,18
WSP,24.087,POP2H_A_2,1,1,18
WSP,24.369,CSB_E_2,1,1,18
WSP,25.774,CSB_A_1,1,1,18
WSP,24.985,CSB_E_2,1,1,18
WSP,21.772,POPL_D_1,1,1,18
WSP,21.483,POPL_D_1,1,1,18
WSP,28.914,CSB-REF_A_3,1,1,18
WSP,29.05,CSB-REF_A_3,1,1,18
WSP,21.723,OCTO_C_9,1,1,18
WSP,21.558,OCTO_C_9,1,1,18
WSP,21.587,POP2H_F_1,1,1,18
WSP,21.467,POP2H_F_1,1,1,18
WSP,21.535,OCTO_C_1,1,1,18
WSP,21.25,OCTO_C_1,1,1,18
WSP,23.247,POPH_A_1,1,1,18
WD0513,24.072,CSB_A_1,1,1,18
WD0513,17.618,POPH_A_1,1,1,18
WD0513,NA,OCTO_D_9,1,1,18
WD0513,NA,OCTO_D_9,1,1,18
WD0513,15.495,POPH_F_1,1,1,18
WD0513,15.696,POPH_F_1,1,1,18
WD0513,16.646,POP2H_D_1,1,1,18
WD0513,16.865,POP2H_D_1,1,1,18
WD0513,19.245,POP2H_A_2,1,1,18
WD0513,19.271,POP2H_A_2,1,1,18
WD0513,24.882,CSB_E_2,1,1,18
WD0513,24.13,CSB_A_1,1,1,18
WD0513,23.617,CSB_E_2,1,1,18
WD0513,16.379,POPL_D_1,1,1,18
WD0513,16.302,POPL_D_1,1,1,18
WD0513,26.869,CSB-REF_A_3,1,1,18
WD0513,26.829,CSB-REF_A_3,1,1,18
WD0513,NA,OCTO_C_9,1,1,18
WD0513,39.847,OCTO_C_9,1,1,18
WD0513,16.772,POP2H_F_1,1,1,18
WD0513,16.955,POP2H_F_1,1,1,18
WD0513,NA,OCTO_C_1,1,1,18
WD0513,NA,OCTO_C_1,1,1,18
WD0513,17.655,POPH_A_1,1,1,18
WSP,22.763,POPL_F_10,1,1,18
WSP,24.959,POP2L_C_2,1,1,18
WSP,20.865,POPH_E_1,1,1,18
WSP,20.594,POPH_E_1,1,1,18
WSP,23.456,POPL_E_1,1,1,18
WSP,23.108,POPL_E_1,1,1,18
WSP,20.798,POPH_D_9,1,1,18
WSP,23.182,POPH_D_9,1,1,18
WSP,26.553,POPH_A_2,1,1,18
WSP,26.232,POPH_A_2,1,1,18
WSP,24.517,POP2L_A_2,1,1,18
WSP,22.503,POPL_F_10,1,1,18
WSP,25.27,POP2L_A_2,1,1,18
WSP,23.805,POP2H_A_1,1,1,18
WSP,23.302,POP2H_A_1,1,1,18
WSP,28.279,CSB-REF_A_4,1,1,18
WSP,28.417,CSB-REF_A_4,1,1,18
WSP,23.516,POP2L_E_9,1,1,18
WSP,23.204,POP2L_E_9,1,1,18
WSP,19.821,OCTO_D_2,1,1,18
WSP,20.095,OCTO_D_2,1,1,18
WSP,24.192,CSB_E_10,1,1,18
WSP,24.13,CSB_E_10,1,1,18
WSP,24.563,POP2L_C_2,1,1,18
WD0513,18.62,POPL_F_10,1,1,18
WD0513,21.092,POP2L_C_2,1,1,18
WD0513,15.422,POPH_E_1,1,1,18
WD0513,15.484,POPH_E_1,1,1,18
WD0513,19.4,POPL_E_1,1,1,18
WD0513,19.388,POPL_E_1,1,1,18
WD0513,16.522,POPH_D_9,1,1,18
WD0513,16.651,POPH_D_9,1,1,18
WD0513,22.224,POPH_A_2,1,1,18
WD0513,22.082,POPH_A_2,1,1,18
WD0513,22.545,POP2L_A_2,1,1,18
WD0513,17.882,POPL_F_10,1,1,18
WD0513,21.978,POP2L_A_2,1,1,18
WD0513,18.641,POP2H_A_1,1,1,18
WD0513,18.784,POP2H_A_1,1,1,18
WD0513,26.13,CSB-REF_A_4,1,1,18
WD0513,26.586,CSB-REF_A_4,1,1,18
WD0513,20.278,POP2L_E_9,1,1,18
WD0513,19.803,POP2L_E_9,1,1,18
WD0513,NA,OCTO_D_2,1,1,18
WD0513,36.431,OCTO_D_2,1,1,18
WD0513,22.633,CSB_E_10,1,1,18
WD0513,22.453,CSB_E_10,1,1,18
WD0513,20.996,POP2L_C_2,1,1,18
WSP,22.307,POPH_D_2,1,1,18
WSP,23.996,POP2H_C_10,1,1,18
WSP,20.984,POPH_D_1,1,1,18
WSP,21.17,POPH_D_1,1,1,18
WSP,23.295,POP2L_D_1,1,1,18
WSP,23.223,POP2L_D_1,1,1,18
WSP,27.246,POPL_B_9,1,1,18
WSP,25.509,POPL_B_9,1,1,18
WSP,25.722,POPL_C_1,1,1,18
WSP,25.564,POPL_C_1,1,1,18
WSP,25.215,POPL_A_2,1,1,18
WSP,21.656,POPH_D_2,1,1,18
WSP,25.353,POPL_A_2,1,1,18
WSP,27.052,CSB_B_9,1,1,18
WSP,26.676,CSB_B_9,1,1,18
WSP,30.468,CSB-REF_A_5,1,1,18
WSP,30.839,CSB-REF_A_5,1,1,18
WSP,25.381,POP2L_C_1,1,1,18
WSP,24.957,POP2L_C_1,1,1,18
WSP,22.477,POP2L_F_9,1,1,18
WSP,22.731,POP2L_F_9,1,1,18
WSP,23.748,POPH_C_2,1,1,18
WSP,23.635,POPH_C_2,1,1,18
WSP,22.826,POP2H_C_10,1,1,18
WD0513,16.505,POPH_D_2,1,1,18
WD0513,17.299,POP2H_C_10,1,1,18
WD0513,15.351,POPH_D_1,1,1,18
WD0513,16.337,POPH_D_1,1,1,18
WD0513,19.793,POP2L_D_1,1,1,18
WD0513,19.768,POP2L_D_1,1,1,18
WD0513,23.032,POPL_B_9,1,1,18
WD0513,24.133,POPL_B_9,1,1,18
WD0513,21.981,POPL_C_1,1,1,18
WD0513,22.085,POPL_C_1,1,1,18
WD0513,21.52,POPL_A_2,1,1,18
WD0513,16.353,POPH_D_2,1,1,18
WD0513,21.851,POPL_A_2,1,1,18
WD0513,24.781,CSB_B_9,1,1,18
WD0513,25.74,CSB_B_9,1,1,18
WD0513,28.87,CSB-REF_A_5,1,1,18
WD0513,28.705,CSB-REF_A_5,1,1,18
WD0513,21.821,POP2L_C_1,1,1,18
WD0513,21.751,POP2L_C_1,1,1,18
WD0513,18.802,POP2L_F_9,1,1,18
WD0513,18.774,POP2L_F_9,1,1,18
WD0513,18.877,POPH_C_2,1,1,18
WD0513,18.844,POPH_C_2,1,1,18
WD0513,17.246,POP2H_C_10,1,1,18
WSP,25.644,CSB_E_1,1,1,18
WSP,23.459,POP2L_D_2,1,1,18
WSP,18.203,OCTO_F_2,1,1,18
WSP,18.146,OCTO_F_2,1,1,18
WSP,18.782,OCTO_D_1,1,1,18
WSP,18.705,OCTO_D_1,1,1,18
WSP,22.66,POP2L_E_1,1,1,18
WSP,22.647,POP2L_E_1,1,1,18
WSP,22.194,POPL_E_10,1,1,18
WSP,22.065,POPL_E_10,1,1,18
WSP,21.927,POP2H_E_2,1,1,18
WSP,26.218,CSB_E_1,1,1,18
WSP,22.266,POP2H_E_2,1,1,18
WSP,25.281,POPL_A_1,1,1,18
WSP,24.83,POPL_A_1,1,1,18
WSP,28.282,CSB-REF_A_6,1,1,18
WSP,28.546,CSB-REF_A_6,1,1,18
WSP,25.943,CSB_B_1,1,1,18
WSP,25.787,CSB_B_1,1,1,18
WSP,24.307,POPH_B_2,1,1,18
WSP,24.468,POPH_B_2,1,1,18
WSP,25.715,POP2L_B_10,1,1,18
WSP,25.606,POP2L_B_10,1,1,18
WSP,22.98,POP2L_D_2,1,1,18
WD0513,23.894,CSB_E_1,1,1,18
WD0513,19.528,POP2L_D_2,1,1,18
WD0513,NA,OCTO_F_2,1,1,18
WD0513,NA,OCTO_F_2,1,1,18
