sample,gene,cts,plate
POP2_C_5,RPL32,26.209,plate3
OCTO_E_7,WSP,21.12,plate3
OCTO_C_6,WSP,25.827,plate3
STD_5,WSP,29.385,plate3
STD_5,WSP,25.327,plate3
STD_5,WSP,32.203,plate3
CSB_Ref_5,WSP,25.202,plate3
CSB_Ref_5,WSP,25.143,plate3
CSB_Ref_5,RPL32,26.944,plate3
CSB_Ref_5,RPL32,26.626,plate3
OCTO_E_7,WSP,21.18,plate3
CSB_Ref_5,WD0513,26.216,plate3
CSB_Ref_5,WD0513,25.931,plate3
POP2_HF_10,WSP,21.607,plate3
POP2_HF_10,WSP,21.636,plate3
POP2_HF_8,WSP,21.137,plate3
POP2_HF_8,WSP,21.227,plate3
CSB_B_1,WSP,28.893,plate3
CSB_B_1,WSP,28.866,plate3
OCTO_C_6,WSP,25.925,plate3
OCTO_E_7,RPL32,21.979,plate3
OCTO_C_6,RPL32,25.986,plate3
OCTO_E_7,WD0513,NA,plate3
OCTO_E_7,WD0513,NA,plate3
POP2_HF_10,WD0513,19.285,plate3
POP2_HF_10,WD0513,19.34,plate3
POP2_HF_8,WD0513,19.413,plate3
CSB_B_1,WD0513,30.074,plate3
POP2_HF_8,WD0513,19.392,plate3
OCTO_E_7,RPL32,21.967,plate3
CSB_B_1,WD0513,29.259,plate3
OCTO_C_6,WD0513,NA,plate3
OCTO_C_6,WD0513,NA,plate3
POP2_HF_10,RPL32,23.562,plate3
POP2_HF_10,RPL32,23.498,plate3
POP2_HF_8,RPL32,23.43,plate3
POP2_HF_8,RPL32,23.385,plate3
CSB_B_1,RPL32,28.166,plate3
CSB_B_1,RPL32,27.725,plate3
OCTO_C_6,RPL32,26.25,plate3
POP2_E_2,WSP,21.272,plate3
POP2_F_5,WSP,21.767,plate3
STD_6,WSP,33.543,plate3
STD_6,WSP,37.67,plate3
STD_6,WSP,38.235,plate3
CSB_Ref_6,WSP,26.912,plate3
CSB_Ref_6,WSP,27.084,plate3
CSB_Ref_6,RPL32,24.631,plate3
CSB_Ref_6,RPL32,24.683,plate3
POP2_E_2,WSP,21.337,plate3
CSB_Ref_6,WD0513,27.989,plate3
CSB_Ref_6,WD0513,27.846,plate3
CSB_HM_3,WSP,23.15,plate3
CSB_HM_3,WSP,23.229,plate3
POP2_HM_6,WSP,22.728,plate3
POP2_HM_6,WSP,22.679,plate3
OCTO_B_3,WSP,29.25,plate3
OCTO_B_3,WSP,29.454,plate3
POP2_F_5,WSP,21.761,plate3
POP2_E_2,RPL32,21.983,plate3
POP2_F_5,RPL32,22.889,plate3
POP2_E_2,WD0513,19.294,plate3
POP2_E_2,WD0513,19.554,plate3
CSB_HM_3,WD0513,23.657,plate3
CSB_HM_3,WD0513,23.805,plate3
POP2_HM_6,WD0513,20.752,plate3
OCTO_B_3,WD0513,NA,plate3
POP2_HM_6,WD0513,20.843,plate3
POP2_E_2,RPL32,22.122,plate3
OCTO_B_3,WD0513,NA,plate3
POP2_F_5,WD0513,19.998,plate3
POP2_F_5,WD0513,20.068,plate3
CSB_HM_3,RPL32,24.626,plate3
CSB_HM_3,RPL32,24.672,plate3
POP2_HM_6,RPL32,24.583,plate3
POP2_HM_6,RPL32,24.499,plate3
OCTO_B_3,RPL32,29.069,plate3
OCTO_B_3,RPL32,29.154,plate3
POP2_F_5,RPL32,22.725,plate3
POP2_G_3,WSP,22.283,plate3
POP2_F_1,WSP,21.061,plate3
STD_7,WSP,38.866,plate3
STD_7,WSP,36.048,plate3
STD_7,WSP,38.635,plate3
POP2_G_3,WSP,22.414,plate3
CSB_HM_6,WSP,23.613,plate3
CSB_HM_6,WSP,23.732,plate3
CSB_E_1,WSP,23.04,plate3
CSB_E_1,WSP,22.917,plate3
CSB_D_10,WSP,23.173,plate3
CSB_D_10,WSP,23.266,plate3
POP2_F_1,WSP,21.195,plate3
POP2_G_3,RPL32,23.713,plate3
POP2_F_1,RPL32,21.585,plate3
POP2_G_3,WD0513,20.29,plate3
POP2_G_3,WD0513,20.648,plate3
CSB_HM_6,WD0513,24.17,plate3
CSB_HM_6,WD0513,24.341,plate3
CSB_E_1,WD0513,23.631,plate3
CSB_D_10,WD0513,23.785,plate3
CSB_E_1,WD0513,23.68,plate3
POP2_G_3,RPL32,23.883,plate3
CSB_D_10,WD0513,23.821,plate3
POP2_F_1,WD0513,19.15,plate3
POP2_F_1,WD0513,19.179,plate3
CSB_HM_6,RPL32,24.596,plate3
CSB_HM_6,RPL32,24.746,plate3
CSB_E_1,RPL32,22.217,plate3
CSB_E_1,RPL32,22.301,plate3
CSB_D_10,RPL32,21.774,plate3
CSB_D_10,RPL32,21.841,plate3
POP2_F_1,RPL32,21.653,plate3
CSB_C_3,WSP,25.509,plate3
CSB_C_5,WSP,28.417,plate3
CSB_C_3,WSP,25.63,plate3
POP2_C_3,WSP,25.365,plate3
POP2_C_3,WSP,25.266,plate3
CSB_G_10,WSP,24.124,plate3
CSB_G_10,WSP,23.971,plate3
OCTO_E_3,WSP,21.413,plate3
OCTO_E_3,WSP,21.22,plate3
CSB_C_5,WSP,27.871,plate3
CSB_C_3,RPL32,24.956,plate3
CSB_C_5,RPL32,27.323,plate3
CSB_C_3,WD0513,26.35,plate3
CSB_C_3,WD0513,26.413,plate3
POP2_C_3,WD0513,23.218,plate3
POP2_C_3,WD0513,23.386,plate3
CSB_G_10,WD0513,24.765,plate3
OCTO_E_3,WD0513,NA,plate3
CSB_G_10,WD0513,24.899,plate3
CSB_C_3,RPL32,24.97,plate3
OCTO_E_3,WD0513,NA,plate3
CSB_C_5,WD0513,28.973,plate3
CSB_C_5,WD0513,28.922,plate3
POP2_C_3,RPL32,26.291,plate3
POP2_C_3,RPL32,26.365,plate3
CSB_G_10,RPL32,23.885,plate3
CSB_G_10,RPL32,23.781,plate3
OCTO_E_3,RPL32,22.187,plate3
OCTO_E_3,RPL32,22.085,plate3
CSB_C_5,RPL32,26.824,plate3
OCTO_E_10,WSP,20.903,plate4
POP2_C_4,WSP,23.953,plate4
POP2_B_8,WSP,26.413,plate4
POP2_B_8,WSP,26.23,plate4
STD_1,WSP,16.954,plate4
STD_1,WSP,16.595,plate4
STD_1,WSP,17.571,plate4
CSB_Ref_1,WSP,26.551,plate4
CSB_Ref_1,WSP,25.646,plate4
CSB_HF_5,WD0513,30.017,plate4
POP2_E_5,WD0513,19.213,plate4
OCTO_E_10,WSP,20.868,plate4
CSB_Ref_1,WD0513,26.504,plate4
CSB_Ref_1,WD0513,27.02,plate4
CSB_G_4,WSP,23.16,plate4
CSB_G_4,WSP,23.351,plate4
CSB_HF_5,WSP,28.512,plate4
CSB_HF_5,WSP,27.992,plate4
POP2_E_5,WSP,22.206,plate4
POP2_E_5,WSP,22.135,plate4
POP2_C_4,WSP,24.154,plate4
OCTO_E_10,RPL32,20.577,plate4
POP2_C_4,RPL32,24.179,plate4
POP2_B_8,RPL32,26.598,plate4
POP2_B_8,RPL32,25.938,plate4
OCTO_E_10,WD0513,NA,plate4
OCTO_E_10,WD0513,NA,plate4
CSB_G_4,WD0513,22.974,plate4
CSB_G_4,WD0513,22.822,plate4
CSB_HF_5,WD0513,27.445,plate4
CSB_Ref_1,RPL32,28.304,plate4
CSB_Ref_1,RPL32,28.721,plate4
OCTO_E_10,RPL32,20.687,plate4
POP2_E_5,WD0513,19.834,plate4
POP2_C_4,WD0513,21.741,plate4
POP2_C_4,WD0513,21.662,plate4
POP2_B_8,WD0513,24.035,plate4
POP2_B_8,WD0513,23.929,plate4
CSB_G_4,RPL32,22.641,plate4
CSB_G_4,RPL32,22.648,plate4
CSB_HF_5,RPL32,28.918,plate4
CSB_HF_5,RPL32,27.735,plate4
POP2_E_5,RPL32,20.959,plate4
POP2_E_5,RPL32,21.149,plate4
POP2_C_4,RPL32,24.103,plate4
CSB_E_6,WSP,23.179,plate4
OCTO_A_8,WSP,27.818,plate4
POP2_C_6,WSP,23.7,plate4
POP2_C_6,WSP,24.108,plate4
STD_2,WSP,19.688,plate4
STD_2,WSP,20.165,plate4
STD_2,WSP,19.851,plate4
CSB_Ref_2,WSP,26.882,plate4
CSB_Ref_2,WSP,26.559,plate4
OCTO_A_7,WD0513,NA,plate4
POP2_E_8,WD0513,18.522,plate4
CSB_E_6,WSP,23.532,plate4
CSB_Ref_2,WD0513,26.255,plate4
CSB_Ref_2,WD0513,27.562,plate4
POP2_F_4,WSP,22.836,plate4
POP2_F_4,WSP,22.974,plate4
OCTO_A_7,WSP,27.657,plate4
OCTO_A_7,WSP,28.416,plate4
POP2_E_8,WSP,21.14,plate4
POP2_E_8,WSP,21.285,plate4
OCTO_A_8,WSP,27.746,plate4
CSB_E_6,RPL32,21.966,plate4
OCTO_A_8,RPL32,32.757,plate4
POP2_C_6,RPL32,24.564,plate4
POP2_C_6,RPL32,24.407,plate4
CSB_E_6,WD0513,22.568,plate4
CSB_E_6,WD0513,22.692,plate4
POP2_F_4,WD0513,20.367,plate4
POP2_F_4,WD0513,20.112,plate4
OCTO_A_7,WD0513,NA,plate4
CSB_Ref_2,RPL32,28.149,plate4
CSB_Ref_2,RPL32,28.066,plate4
CSB_E_6,RPL32,21.694,plate4
POP2_E_8,WD0513,18.682,plate4
OCTO_A_8,WD0513,NA,plate4
OCTO_A_8,WD0513,NA,plate4
POP2_C_6,WD0513,21.855,plate4
POP2_C_6,WD0513,21.947,plate4
POP2_F_4,RPL32,22.931,plate4
POP2_F_4,RPL32,22.891,plate4
OCTO_A_7,RPL32,32.519,plate4
OCTO_A_7,RPL32,32.396,plate4
POP2_E_8,RPL32,21.25,plate4
POP2_E_8,RPL32,20.541,plate4
OCTO_A_8,RPL32,34.235,plate4
OCTO_D_4,WSP,22.307,plate4
CSB_F_10,WSP,23.187,plate4
STD_3,WSP,20.953,plate4
STD_3,WSP,22,plate4
STD_3,WSP,25.59,plate4
CSB_Ref_3,WSP,25.956,plate4
CSB_Ref_3,WSP,26.17,plate4
OCTO_D_3,WD0513,NA,plate4
OCTO_C_7,WD0513,NA,plate4
OCTO_D_4,WSP,22.274,plate4
CSB_Ref_3,WD0513,25.866,plate4
CSB_Ref_3,WD0513,25.957,plate4
CSB_HF_4,WSP,22.395,plate4
CSB_HF_4,WSP,22.39,plate4
OCTO_D_3,WSP,22.871,plate4
OCTO_D_3,WSP,22.643,plate4
OCTO_C_7,WSP,25.412,plate4
OCTO_C_7,WSP,25.526,plate4
CSB_F_10,WSP,22.923,plate4
OCTO_D_4,RPL32,21.554,plate4
CSB_F_10,RPL32,23.106,plate4
OCTO_D_4,WD0513,39.309,plate4
OCTO_D_4,WD0513,NA,plate4
CSB_HF_4,WD0513,21.693,plate4
CSB_HF_4,WD0513,21.794,plate4
OCTO_D_3,WD0513,NA,plate4
CSB_Ref_3,RPL32,27.304,plate4
CSB_Ref_3,RPL32,27.199,plate4
OCTO_D_4,RPL32,21.576,plate4
OCTO_C_7,WD0513,NA,plate4
CSB_F_10,WD0513,23.251,plate4
CSB_F_10,WD0513,23.249,plate4
CSB_HF_4,RPL32,22.778,plate4
CSB_HF_4,RPL32,22.874,plate4
OCTO_D_3,RPL32,21.893,plate4
OCTO_D_3,RPL32,21.826,plate4
OCTO_C_7,RPL32,25.017,plate4
OCTO_C_7,RPL32,25.202,plate4
CSB_F_10,RPL32,23.123,plate4
POP2_G_5,WSP,20.969,plate4
OCTO_F_4,WSP,20.612,plate4
STD_4,WSP,29.86,plate4
STD_4,WSP,31.647,plate4
STD_4,WSP,28.203,plate4
CSB_Ref_4,WSP,26.621,plate4
CSB_Ref_4,WSP,26.927,plate4
OCTO_HF_3,WD0513,38.422,plate4
CSB_B_6,WD0513,26.461,plate4
POP2_G_5,WSP,21.173,plate4
CSB_Ref_4,WD0513,26.715,plate4
CSB_Ref_4,WD0513,27.494,plate4
OCTO_HM_5,WSP,20.732,plate4
OCTO_HM_5,WSP,20.792,plate4
OCTO_HF_3,WSP,20.03,plate4
OCTO_HF_3,WSP,19.833,plate4
CSB_B_6,WSP,26.955,plate4
CSB_B_6,WSP,26.788,plate4
OCTO_F_4,WSP,20.71,plate4
POP2_G_5,RPL32,22.857,plate4
OCTO_F_4,RPL32,20.996,plate4
POP2_G_5,WD0513,17.909,plate4
POP2_G_5,WD0513,17.801,plate4
OCTO_HM_5,WD0513,NA,plate4
OCTO_HM_5,WD0513,NA,plate4
OCTO_HF_3,WD0513,NA,plate4
CSB_Ref_4,RPL32,27.975,plate4
CSB_Ref_4,RPL32,27.683,plate4
POP2_G_5,RPL32,22.745,plate4
CSB_B_6,WD0513,26.717,plate4
OCTO_F_4,WD0513,NA,plate4
OCTO_F_4,WD0513,39.684,plate4
OCTO_HM_5,RPL32,23.686,plate4
OCTO_HM_5,RPL32,23.876,plate4
OCTO_HF_3,RPL32,22.666,plate4
OCTO_HF_3,RPL32,22.47,plate4
CSB_B_6,RPL32,25.862,plate4
CSB_B_6,RPL32,25.212,plate4
OCTO_F_4,RPL32,20.931,plate4
CSB_G_6,WSP,23.515,plate4
OCTO_B_5,WSP,28.465,plate4
STD_5,WSP,31.538,plate4
STD_5,WSP,28.263,plate4
STD_5,WSP,28.843,plate4
CSB_Ref_5,WSP,24.877,plate4
CSB_Ref_5,WSP,24.863,plate4
CSB_A_4,WD0513,28.944,plate4
POP2_F_3,WD0513,19.178,plate4
CSB_G_6,WSP,23.646,plate4
CSB_Ref_5,WD0513,24.622,plate4
CSB_Ref_5,WD0513,24.75,plate4
OCTO_E_5,WSP,21.262,plate4
OCTO_E_5,WSP,21.384,plate4
CSB_A_4,WSP,29.295,plate4
CSB_A_4,WSP,29.435,plate4
POP2_F_3,WSP,21.936,plate4
POP2_F_3,WSP,21.734,plate4
OCTO_B_5,WSP,28.41,plate4
CSB_G_6,RPL32,23.261,plate4
OCTO_B_5,RPL32,28.373,plate4
CSB_G_6,WD0513,22.926,plate4
CSB_G_6,WD0513,23.113,plate4
OCTO_E_5,WD0513,NA,plate4
OCTO_E_5,WD0513,36.664,plate4
CSB_A_4,WD0513,28.68,plate4
CSB_Ref_5,RPL32,25.741,plate4
CSB_Ref_5,RPL32,25.946,plate4
CSB_G_6,RPL32,23.134,plate4
POP2_F_3,WD0513,19.673,plate4
OCTO_B_5,WD0513,NA,plate4
OCTO_B_5,WD0513,NA,plate4
OCTO_E_5,RPL32,21.228,plate4
OCTO_E_5,RPL32,21.191,plate4
CSB_A_4,RPL32,29.213,plate4
CSB_A_4,RPL32,30.6,plate4
POP2_F_3,RPL32,23.27,plate4
POP2_F_3,RPL32,23.273,plate4
OCTO_B_5,RPL32,28.303,plate4
CSB_E_5,WSP,22.353,plate4
OCTO_HM_2,WSP,24.368,plate4
STD_6,WSP,39.316,plate4
STD_6,WSP,NA,plate4
STD_6,WSP,38.629,plate4
CSB_Ref_6,WSP,26.879,plate4
CSB_Ref_6,WSP,26.834,plate4
POP2_HF_1,WD0513,17.599,plate4
CSB_D_1,WD0513,23.745,plate4
CSB_E_5,WSP,22.497,plate4
CSB_Ref_6,WD0513,26.656,plate4
CSB_Ref_6,WD0513,26.812,plate4
OCTO_HM_1,WSP,19.831,plate4
OCTO_HM_1,WSP,19.962,plate4
POP2_HF_1,WSP,20.826,plate4
POP2_HF_1,WSP,20.694,plate4
CSB_D_1,WSP,23.581,plate4
CSB_D_1,WSP,23.484,plate4
OCTO_HM_2,WSP,24.293,plate4
CSB_E_5,RPL32,20.953,plate4
OCTO_HM_2,RPL32,27.844,plate4
CSB_E_5,WD0513,21.706,plate4
CSB_E_5,WD0513,21.75,plate4
OCTO_HM_1,WD0513,NA,plate4
OCTO_HM_1,WD0513,NA,plate4
POP2_HF_1,WD0513,17.773,plate4
CSB_Ref_6,RPL32,24.494,plate4
CSB_Ref_6,RPL32,24.665,plate4
CSB_E_5,RPL32,20.878,plate4
CSB_D_1,WD0513,23.658,plate4
OCTO_HM_2,WD0513,NA,plate4
OCTO_HM_2,WD0513,NA,plate4
OCTO_HM_1,RPL32,23.53,plate4
OCTO_HM_1,RPL32,23.399,plate4
POP2_HF_1,RPL32,22.111,plate4
POP2_HF_1,RPL32,22.009,plate4
CSB_D_1,RPL32,21.502,plate4
CSB_D_1,RPL32,21.511,plate4
OCTO_HM_2,RPL32,27.656,plate4
CSB_HM_2,WSP,22.939,plate4
CSB_B_7,WSP,27.034,plate4
STD_7,WSP,39.919,plate4
STD_7,WSP,39.661,plate4
STD_7,WSP,39.207,plate4
POP2_HF_9,WD0513,18.916,plate4
POP2_A_5,WD0513,23.947,plate4
CSB_HM_2,WSP,22.983,plate4
CSB_A_3,WSP,29.489,plate4
CSB_A_3,WSP,29.228,plate4
POP2_HF_9,WSP,21.585,plate4
POP2_HF_9,WSP,21.695,plate4
POP2_A_5,WSP,27.098,plate4
POP2_A_5,WSP,27.047,plate4
CSB_B_7,WSP,26.856,plate4
CSB_HM_2,RPL32,23.413,plate4
CSB_B_7,RPL32,25.964,plate4
CSB_HM_2,WD0513,22.203,plate4
CSB_HM_2,WD0513,22.441,plate4
CSB_A_3,WD0513,28.198,plate4
CSB_A_3,WD0513,28.905,plate4
POP2_HF_9,WD0513,19.142,plate4
CSB_HM_2,RPL32,23.231,plate4
POP2_A_5,WD0513,24.05,plate4
CSB_B_7,WD0513,26.983,plate4
CSB_B_7,WD0513,27.058,plate4
CSB_A_3,RPL32,31.013,plate4
CSB_A_3,RPL32,30.556,plate4
POP2_HF_9,RPL32,23.267,plate4
POP2_HF_9,RPL32,23.52,plate4
POP2_A_5,RPL32,29.387,plate4
POP2_A_5,RPL32,29.344,plate4
CSB_B_7,RPL32,25.996,plate4
CSB_C_4,WSP,25.709,plate4
OCTO_C_1,WSP,25.291,plate4
CSB_F_4,WD0513,23.524,plate4
OCTO_G_9,WD0513,NA,plate4
CSB_C_4,WSP,26.31,plate4
POP2_A_6,WSP,28.172,plate4
POP2_A_6,WSP,28.005,plate4
CSB_F_4,WSP,24.287,plate4
CSB_F_4,WSP,23.765,plate4
OCTO_G_9,WSP,22.558,plate4
OCTO_G_9,WSP,22.452,plate4
OCTO_C_1,WSP,25.302,plate4
CSB_C_4,RPL32,25.158,plate4
OCTO_C_1,RPL32,25.748,plate4
CSB_C_4,WD0513,26.219,plate4
CSB_C_4,WD0513,26.389,plate4
POP2_A_6,WD0513,25.146,plate4
POP2_A_6,WD0513,24.848,plate4
CSB_F_4,WD0513,23.602,plate4
CSB_C_4,RPL32,25.108,plate4
OCTO_G_9,WD0513,NA,plate4
OCTO_C_1,WD0513,NA,plate4
OCTO_C_1,WD0513,NA,plate4
POP2_A_6,RPL32,33.506,plate4
POP2_A_6,RPL32,34.695,plate4
CSB_F_4,RPL32,22.939,plate4
CSB_F_4,RPL32,22.769,plate4
OCTO_G_9,RPL32,23.537,plate4
OCTO_G_9,RPL32,23.41,plate4
OCTO_C_1,RPL32,25.575,plate4
POP2_G_9,WSP,23.127,plate5
OCTO_D_6,WSP,23.554,plate5
OCTO_B_2,WSP,30.005,plate5
OCTO_B_2,WSP,29.483,plate5
STD_1,WSP,17.96,plate5
STD_1,WSP,11.431,plate5
STD_1,WSP,17.614,plate5
CSB_Ref_1,WSP,27.282,plate5
CSB_Ref_1,WSP,27.456,plate5
CSB_Ref_1,RPL32,29.896,plate5
CSB_Ref_1,RPL32,29.886,plate5
POP2_G_9,WSP,23.297,plate5
CSB_Ref_1,WD0513,27.747,plate5
CSB_Ref_1,WD0513,27.477,plate5
CSB_G_5,WSP,23.862,plate5
CSB_G_5,WSP,23.964,plate5
CSB_D_8,WSP,24.268,plate5
CSB_D_8,WSP,24.355,plate5
OCTO_F_5,WSP,21.443,plate5
OCTO_F_5,WSP,21.47,plate5
OCTO_D_6,WSP,23.794,plate5
POP2_G_9,RPL32,23.355,plate5
OCTO_D_6,RPL32,23.991,plate5
OCTO_B_2,RPL32,28.929,plate5
OCTO_B_2,RPL32,28.619,plate5
POP2_G_9,WD0513,20.343,plate5
CSB_G_5,WD0513,23.374,plate5
CSB_D_8,WD0513,24.727,plate5
OCTO_F_5,WD0513,NA,plate5
OCTO_D_6,WD0513,NA,plate5
OCTO_B_2,WD0513,NA,plate5
POP2_G_9,WD0513,20.824,plate5
POP2_G_9,RPL32,23.61,plate5
CSB_G_5,WD0513,23.971,plate5
CSB_D_8,WD0513,24.354,plate5
OCTO_F_5,WD0513,39.021,plate5
OCTO_D_6,WD0513,NA,plate5
OCTO_B_2,WD0513,NA,plate5
CSB_G_5,RPL32,22.961,plate5
CSB_G_5,RPL32,23.225,plate5
CSB_D_8,RPL32,22.696,plate5
CSB_D_8,RPL32,22.688,plate5
OCTO_F_5,RPL32,22.642,plate5
OCTO_F_5,RPL32,22.614,plate5
OCTO_D_6,RPL32,24.302,plate5
POP2_B_10,WSP,28.252,plate5
POP2_E_1,WSP,23.247,plate5
POP2_C_8,WSP,26.245,plate5
POP2_C_8,WSP,26.21,plate5
STD_2,WSP,16.239,plate5
STD_2,WSP,19.749,plate5
STD_2,WSP,18.255,plate5
CSB_Ref_2,WSP,28.302,plate5
CSB_Ref_2,WSP,27.981,plate5
CSB_Ref_2,RPL32,29.73,plate5
CSB_Ref_2,RPL32,29.777,plate5
POP2_B_10,WSP,28.353,plate5
CSB_Ref_2,WD0513,27.998,plate5
CSB_Ref_2,WD0513,27.977,plate5
CSB_F_6,WSP,27.643,plate5
CSB_F_6,WSP,27.665,plate5
OCTO_C_9,WSP,30.083,plate5
OCTO_C_9,WSP,29.976,plate5
OCTO_G_6,WSP,21.588,plate5
OCTO_G_6,WSP,21.594,plate5
POP2_E_1,WSP,23.247,plate5
POP2_B_10,RPL32,28.671,plate5
POP2_E_1,RPL32,23.08,plate5
POP2_C_8,RPL32,26.681,plate5
POP2_C_8,RPL32,26.727,plate5
POP2_B_10,WD0513,24.983,plate5
CSB_F_6,WD0513,27.342,plate5
OCTO_C_9,WD0513,NA,plate5
OCTO_G_6,WD0513,NA,plate5
POP2_E_1,WD0513,20.81,plate5
POP2_C_8,WD0513,23.691,plate5
POP2_B_10,WD0513,25.264,plate5
POP2_B_10,RPL32,28.891,plate5
CSB_F_6,WD0513,27.885,plate5
OCTO_C_9,WD0513,NA,plate5
OCTO_G_6,WD0513,NA,plate5
POP2_E_1,WD0513,20.733,plate5
POP2_C_8,WD0513,23.649,plate5
CSB_F_6,RPL32,26.313,plate5
CSB_F_6,RPL32,26.313,plate5
OCTO_C_9,RPL32,29.156,plate5
OCTO_C_9,RPL32,28.752,plate5
OCTO_G_6,RPL32,22.473,plate5
OCTO_G_6,RPL32,22.481,plate5
POP2_E_1,RPL32,22.906,plate5
POP2_A_8,WSP,27.982,plate5
POP2_F_7,WSP,22.994,plate5
STD_3,WSP,22.141,plate5
STD_3,WSP,19.239,plate5
STD_3,WSP,21.002,plate5
CSB_Ref_3,WSP,27.824,plate5
CSB_Ref_3,WSP,27.793,plate5
CSB_Ref_3,RPL32,29.409,plate5
CSB_Ref_3,RPL32,29.11,plate5
POP2_A_8,WSP,28.017,plate5
CSB_Ref_3,WD0513,28.115,plate5
CSB_Ref_3,WD0513,27.93,plate5
POP2_HM_9,WSP,23.422,plate5
POP2_HM_9,WSP,23.506,plate5
CSB_D_6,WSP,24.575,plate5
CSB_D_6,WSP,24.484,plate5
POP2_HM_1,WSP,22.975,plate5
POP2_HM_1,WSP,22.861,plate5
POP2_F_7,WSP,23.053,plate5
POP2_A_8,RPL32,34.733,plate5
POP2_F_7,RPL32,23.485,plate5
POP2_A_8,WD0513,24.664,plate5
POP2_HM_9,WD0513,20.811,plate5
CSB_D_6,WD0513,24.258,plate5
POP2_HM_1,WD0513,19.321,plate5
POP2_F_7,WD0513,20.492,plate5
POP2_A_8,WD0513,25.308,plate5
POP2_A_8,RPL32,33.742,plate5
POP2_HM_9,WD0513,20.998,plate5
CSB_D_6,WD0513,24.409,plate5
POP2_HM_1,WD0513,19.797,plate5
POP2_F_7,WD0513,20.236,plate5
POP2_HM_9,RPL32,23.827,plate5
POP2_HM_9,RPL32,23.774,plate5
CSB_D_6,RPL32,22.528,plate5
CSB_D_6,RPL32,22.574,plate5
POP2_HM_1,RPL32,23.812,plate5
POP2_HM_1,RPL32,23.755,plate5
POP2_F_7,RPL32,23.418,plate5
POP2_HM_3,WSP,22.674,plate5
CSB_C_2,WSP,27.019,plate5
STD_4,WSP,25.349,plate5
STD_4,WSP,25.834,plate5
STD_4,WSP,26.065,plate5
CSB_Ref_4,WSP,28.461,plate5
CSB_Ref_4,WSP,28.198,plate5
CSB_Ref_4,RPL32,30.212,plate5
CSB_Ref_4,RPL32,30.148,plate5
POP2_HM_3,WSP,22.814,plate5
CSB_Ref_4,WD0513,28.474,plate5
CSB_Ref_4,WD0513,28.255,plate5
CSB_F_5,WSP,23.055,plate5
CSB_F_5,WSP,23.037,plate5
OCTO_E_2,WSP,22.324,plate5
OCTO_E_2,WSP,22.255,plate5
CSB_HF_9,WSP,24.169,plate5
CSB_HF_9,WSP,24.076,plate5
CSB_C_2,WSP,26.867,plate5
POP2_HM_3,RPL32,23.955,plate5
CSB_C_2,RPL32,26.938,plate5
POP2_HM_3,WD0513,19.417,plate5
CSB_F_5,WD0513,22.477,plate5
OCTO_E_2,WD0513,NA,plate5
CSB_HF_9,WD0513,23.81,plate5
CSB_C_2,WD0513,26.991,plate5
POP2_HM_3,WD0513,19.512,plate5
POP2_HM_3,RPL32,23.961,plate5
CSB_F_5,WD0513,22.966,plate5
OCTO_E_2,WD0513,NA,plate5
CSB_HF_9,WD0513,24.072,plate5
CSB_C_2,WD0513,26.848,plate5
CSB_F_5,RPL32,22.541,plate5
CSB_F_5,RPL32,22.474,plate5
OCTO_E_2,RPL32,22.718,plate5
OCTO_E_2,RPL32,22.909,plate5
CSB_HF_9,RPL32,22.691,plate5
CSB_HF_9,RPL32,22.437,plate5
CSB_C_2,RPL32,26.881,plate5
CSB_G_3,WSP,25.171,plate5
POP2_F_10,WSP,23.703,plate5
STD_5,WSP,33.598,plate5
STD_5,WSP,27.187,plate5
STD_5,WSP,29.414,plate5
CSB_Ref_5,WSP,26.438,plate5
CSB_Ref_5,WSP,26.035,plate5
CSB_Ref_5,RPL32,27.756,plate5
CSB_Ref_5,RPL32,27.337,plate5
CSB_G_3,WSP,25.159,plate5
CSB_Ref_5,WD0513,26.441,plate5
CSB_Ref_5,WD0513,26.203,plate5
CSB_A_5,WSP,28.632,plate5
CSB_A_5,WSP,29.234,plate5
POP2_HF_3,WSP,21.774,plate5
POP2_HF_3,WSP,21.737,plate5
POP2_F_10,WSP,23.898,plate5
CSB_G_3,RPL32,24.453,plate5
POP2_F_10,RPL32,23.599,plate5
CSB_G_3,WD0513,24.851,plate5
CSB_A_5,WD0513,28.299,plate5
POP2_HF_3,WD0513,18.408,plate5
POP2_F_10,WD0513,21.394,plate5
CSB_G_3,WD0513,25.053,plate5
CSB_G_3,RPL32,24.465,plate5
CSB_A_5,WD0513,28.982,plate5
POP2_HF_3,WD0513,18.559,plate5
POP2_F_10,WD0513,21.35,plate5
CSB_A_5,RPL32,30.771,plate5
CSB_A_5,RPL32,30.648,plate5
POP2_HF_3,RPL32,22.494,plate5
POP2_HF_3,RPL32,22.435,plate5
POP2_F_10,RPL32,23.589,plate5
CSB_F_2,WSP,23.717,plate5
CSB_HF_1,WSP,24.478,plate5
STD_6,WSP,34.332,plate5
STD_6,WSP,35.45,plate5
STD_6,WSP,39.696,plate5
CSB_Ref_6,WSP,27.994,plate5
CSB_Ref_6,WSP,28.176,plate5
CSB_Ref_6,RPL32,25.219,plate5
CSB_Ref_6,RPL32,25.117,plate5
CSB_F_2,WSP,23.837,plate5
CSB_Ref_6,WD0513,28.194,plate5
CSB_Ref_6,WD0513,28.048,plate5
OCTO_G_1,WSP,21.971,plate5
OCTO_G_1,WSP,21.858,plate5
