day_post_treatment,replicate,ems_doses,number_eggs,number_adults
5,6,25,3,1
5,7,25,5,5
5,8,25,NA,NA
5,9,25,4,3
5,10,25,6,4
5,1,50,5,3
5,2,50,5,5
5,3,50,0,0
5,4,50,4,3
5,5,50,6,4
5,6,50,6,5
5,7,50,3,1
5,8,50,3,1
5,9,50,0,0
5,10,50,6,2
5,1,100,4,3
5,2,100,1,0
5,3,100,7,7
5,4,100,4,4
5,5,100,4,4
5,6,100,4,1
5,7,100,2,0
5,8,100,1,0
5,9,100,4,3
5,10,100,1,1
5,1,200,3,1
5,2,200,5,4
5,3,200,6,0
5,4,200,2,0
5,5,200,1,1
5,6,200,5,3
5,7,200,1,1
5,8,200,2,0
5,9,200,6,5
5,10,200,2,0
6,1,0,NA,NA
6,2,0,5,4
6,3,0,5,5
6,4,0,7,7
6,5,0,4,4
6,6,0,5,5
6,7,0,1,1
6,8,0,2,2
6,9,0,12,12
6,10,0,6,6
6,1,12.5,2,0
6,2,12.5,2,1
6,3,12.5,2,2
6,4,12.5,3,2
6,5,12.5,4,3
6,6,12.5,NA,NA
6,7,12.5,2,0
6,8,12.5,2,2
6,9,12.5,2,2
6,10,12.5,4,4
6,1,25,3,1
6,2,25,6,6
6,3,25,2,2
6,4,25,5,5
6,5,25,3,3
6,6,25,6,6
6,7,25,2,2
6,8,25,NA,NA
6,9,25,3,3
6,10,25,1,1
6,1,50,3,2
6,2,50,5,3
6,3,50,0,0
6,4,50,3,1
6,5,50,3,3
6,6,50,5,5
6,7,50,1,1
6,8,50,1,0
6,9,50,0,0
6,10,50,5,2
6,1,100,7,7
6,2,100,5,5
6,3,100,5,5
6,4,100,4,3
6,5,100,3,2
6,6,100,1,1
6,7,100,5,1
6,8,100,3,0
6,9,100,3,3
6,10,100,6,5
6,1,200,3,3
6,2,200,3,3
6,3,200,3,3
6,4,200,5,0
6,5,200,4,4
6,6,200,4,2
6,7,200,3,3
6,8,200,5,5
6,9,200,6,6
6,10,200,0,0
7,1,0,NA,NA
7,2,0,3,2
7,3,0,7,7
7,4,0,7,7
7,5,0,5,5
7,6,0,6,5
7,7,0,5,4
7,8,0,4,3
7,9,0,9,8
7,10,0,3,2
7,1,12.5,1,0
7,2,12.5,14,8
7,3,12.5,10,10
7,4,12.5,2,2
7,5,12.5,8,4
7,6,12.5,NA,NA
7,7,12.5,3,2
7,8,12.5,8,0
7,9,12.5,7,6
7,10,12.5,4,3
7,1,25,9,0
7,2,25,10,9
7,3,25,10,9
7,4,25,9,9
7,5,25,2,2
7,6,25,2,1
7,7,25,6,4
7,8,25,NA,NA
7,9,25,4,4
7,10,25,4,4
7,1,50,1,1
7,2,50,6,6
7,3,50,0,0
7,4,50,2,0
7,5,50,5,5
7,6,50,7,6
7,7,50,8,8
7,8,50,2,0
7,9,50,1,0
7,10,50,5,2
7,1,100,4,3
7,2,100,7,5
7,3,100,8,6
7,4,100,7,7
7,5,100,5,3
7,6,100,6,4
7,7,100,9,2
7,8,100,2,0
7,9,100,8,4
7,10,100,4,2
7,1,200,5,5
7,2,200,7,5
7,3,200,6,6
7,4,200,7,0
7,5,200,4,0
7,6,200,5,5
7,7,200,6,6
7,8,200,10,7
7,9,200,3,2
7,10,200,4,0
8,1,0,NA,NA
8,2,0,7,6
8,3,0,19,15
8,4,0,13,12
8,5,0,8,8
8,6,0,7,6
8,7,0,6,4
8,8,0,4,3
8,9,0,15,13
8,10,0,10,10
8,1,12.5,0,0
8,2,12.5,8,6
8,3,12.5,12,12
8,4,12.5,3,1
8,5,12.5,5,1
8,6,12.5,NA,NA
8,7,12.5,6,6
8,8,12.5,9,9
8,9,12.5,8,6
8,10,12.5,8,6
8,1,25,0,0
8,2,25,12,9
8,3,25,11,10
8,4,25,10,9
8,5,25,7,7
8,6,25,0,0
8,7,25,6,6
8,8,25,NA,NA
8,9,25,8,7
8,10,25,6,6
8,1,50,13,13
8,2,50,7,6
8,3,50,0,0
8,4,50,6,1
8,5,50,13,12
8,6,50,10,8
8,7,50,10,8
8,8,50,8,6
8,9,50,0,0
8,10,50,4,2
8,1,100,5,2
8,2,100,9,7
8,3,100,11,8
8,4,100,8,7
8,5,100,5,5
8,6,100,8,7
8,7,100,7,0
8,8,100,4,0
8,9,100,6,6
8,10,100,8,6
8,1,200,6,5
8,2,200,6,6
8,3,200,4,4
8,4,200,7,7
8,5,200,5,5
8,6,200,6,4
8,7,200,14,11
8,8,200,10,8
8,9,200,11,7
8,10,200,5,0
9,1,0,NA,NA
9,2,0,6,4
9,3,0,5,6
9,4,0,10,10
9,5,0,3,3
9,6,0,10,10
9,7,0,4,3
9,8,0,4,2
9,9,0,8,8
9,10,0,7,7
9,1,12.5,0,0
9,2,12.5,3,1
9,3,12.5,5,5
9,4,12.5,2,0
9,5,12.5,2,0
9,6,12.5,NA,NA
9,7,12.5,1,1
9,8,12.5,2,1
9,9,12.5,5,3
9,10,12.5,6,5
9,1,25,0,0
9,2,25,7,7
9,3,25,4,3
9,4,25,3,3
9,5,25,5,5
9,6,25,0,0
9,7,25,0,0
9,8,25,NA,NA
9,9,25,2,1
9,10,25,3,3
9,1,50,7,6
9,2,50,4,4
9,3,50,0,0
9,4,50,1,0
9,5,50,5,5
9,6,50,5,4
9,7,50,6,6
9,8,50,4,2
9,9,50,0,0
9,10,50,0,0
9,1,100,2,2
9,2,100,3,3
9,3,100,7,7
9,4,100,4,4
9,5,100,5,5
9,6,100,4,4
9,7,100,0,0
9,8,100,2,0
9,9,100,5,5
9,10,100,2,2
9,1,200,3,3
9,2,200,5,3
9,3,200,3,3
9,4,200,5,0
9,5,200,1,1
9,6,200,4,1
9,7,200,6,3
9,8,200,6,6
9,9,200,7,4
9,10,200,2,0
10,1,0,NA,NA
10,2,0,4,4
10,3,0,15,15
10,4,0,9,9
10,5,0,10,10
10,6,0,9,9
10,7,0,9,9
10,8,0,0,0
10,9,0,13,13
10,10,0,8,8
10,1,12.5,0,0
10,2,12.5,5,5
10,3,12.5,11,11
10,4,12.5,4,4
10,5,12.5,3,3
10,6,12.5,NA,NA
10,7,12.5,11,11
10,8,12.5,9,9
10,9,12.5,9,9
10,10,12.5,7,7
10,1,25,1,1
10,2,25,9,9
10,3,25,10,10
10,4,25,9,9
10,5,25,4,4
10,6,25,0,0
10,7,25,0,0
10,8,25,NA,NA
10,9,25,4,4
10,10,25,6,6
10,1,50,8,8
10,2,50,4,4
10,3,50,0,0
10,4,50,0,0
10,5,50,10,10
10,6,50,9,9
10,7,50,8,8
10,8,50,4,4
10,9,50,0,0
10,10,50,0,0
10,1,100,3,3
10,2,100,6,6
10,3,100,8,8
10,4,100,6,6
10,5,100,5,5
10,6,100,6,6
10,7,100,0,0
10,8,100,0,0
10,9,100,6,6
10,10,100,7,7
10,1,200,9,9
10,2,200,7,7
10,3,200,8,8
10,4,200,0,0
10,5,200,6,6
10,6,200,4,4
10,7,200,17,17
10,8,200,9,9
10,9,200,6,6
10,10,200,4,4
