sample,gene,cts
E_50_9,WSP,24.392
E_50_9,WSP,24.276
E_50_9,WSP,24.307
E_25_7,WSP,23.089
E_25_7,WSP,23.119
E_25_7,WSP,23.248
E_25_1,WSP,23.698
E_25_1,WSP,23.685
E_25_1,WSP,23.717
E_200_2,WSP,26.414
E_200_2,WSP,26.615
E_200_2,WSP,26.765
E_12.5_10,WSP,23.105
E_12.5_10,WSP,26.669
E_12.5_10,WSP,23.234
E_100_8,WSP,24.174
E_100_8,WSP,24.179
E_100_8,WSP,24.182
E_50_6,WSP,23.55
E_50_6,WSP,23.38
E_50_6,WSP,23.16
E_12.5_5,WSP,22.858
E_12.5_5,WSP,22.857
E_12.5_5,WSP,22.772
E_50_9,RPL32,27.161
E_50_9,RPL32,27.031
E_50_9,RPL32,26.774
E_25_7,RPL32,26.167
E_25_7,RPL32,26.371
E_25_7,RPL32,26.315
E_25_1,RPL32,26.373
E_25_1,RPL32,26.514
E_25_1,RPL32,26.382
E_200_2,RPL32,26.754
E_200_2,RPL32,26.594
E_200_2,RPL32,26.834
E_12.5_10,RPL32,26.336
E_12.5_10,RPL32,26.242
E_12.5_10,RPL32,26.423
E_100_8,RPL32,26.187
E_100_8,RPL32,26.299
E_100_8,RPL32,26.299
E_50_6,RPL32,26.183
E_50_6,RPL32,26.323
E_50_6,RPL32,26.283
E_12.5_5,RPL32,25.972
E_12.5_5,RPL32,25.97
E_12.5_5,RPL32,26.081
E_100_4,WSP,24.06
E_100_4,WSP,24.117
E_100_4,WSP,24.216
E_12.5_3,WSP,23.808
E_12.5_3,WSP,23.892
E_12.5_3,WSP,23.875
E_12.5_8,WSP,23.229
E_12.5_8,WSP,23.289
E_12.5_8,WSP,23.258
E_0_5,WSP,22.924
E_0_5,WSP,22.905
E_0_5,WSP,22.989
E_25_9,WSP,23.425
E_25_9,WSP,22.955
E_25_9,WSP,23.51
E_0_6,WSP,22.942
E_0_6,WSP,23.239
E_0_6,WSP,22.932
E_0_8,WSP,22.447
E_0_8,WSP,22.461
E_0_8,WSP,22.762
E_200_5,WSP,24.5
E_200_5,WSP,24.736
E_200_5,WSP,24.209
E_100_4,RPL32,26.826
E_100_4,RPL32,26.709
E_100_4,RPL32,26.798
E_12.5_3,RPL32,26.954
E_12.5_3,RPL32,26.964
E_12.5_3,RPL32,26.974
E_12.5_8,RPL32,26.726
E_12.5_8,RPL32,26.891
E_12.5_8,RPL32,26.829
E_0_5,RPL32,26.636
E_0_5,RPL32,26.515
E_0_5,RPL32,26.389
E_25_9,RPL32,26.04
E_25_9,RPL32,25.979
E_25_9,RPL32,26.001
E_0_6,RPL32,26.349
E_0_6,RPL32,26.333
E_0_6,RPL32,26.425
E_0_8,RPL32,26
E_0_8,RPL32,26.025
E_0_8,RPL32,26.13
E_200_5,RPL32,26.425
E_200_5,RPL32,26.392
E_200_5,RPL32,26.363
E_0_3,WSP,23.647
E_0_3,WSP,23.591
E_0_3,WSP,23.711
E_100_1,WSP,24.589
E_100_1,WSP,24.692
E_100_1,WSP,24.593
E_50_5,WSP,23.492
E_50_5,WSP,23.621
E_50_5,WSP,23.62
E_12.5_4,WSP,23.252
E_12.5_4,WSP,23.306
E_12.5_4,WSP,23.262
E_25_4,WSP,22.679
E_25_4,WSP,23.342
E_25_4,WSP,22.725
E_50_10,WSP,22.261
E_50_10,WSP,22.339
E_50_10,WSP,22.267
E_50_1,WSP,23.515
E_50_1,WSP,23.376
E_50_1,WSP,23.389
E_25_3,WSP,22.943
E_25_3,WSP,22.954
E_25_3,WSP,22.872
E_0_3,RPL32,26.75
E_0_3,RPL32,26.786
E_0_3,RPL32,26.854
E_100_1,RPL32,26.879
E_100_1,RPL32,26.73
E_100_1,RPL32,26.744
E_50_5,RPL32,26.331
E_50_5,RPL32,26.57
E_50_5,RPL32,26.392
E_12.5_4,RPL32,26.502
E_12.5_4,RPL32,26.512
E_12.5_4,RPL32,26.359
E_25_4,RPL32,26.517
E_25_4,RPL32,26.311
E_25_4,RPL32,26.415
E_50_10,RPL32,25.987
E_50_10,RPL32,26.089
E_50_10,RPL32,26.151
E_50_1,RPL32,26.332
E_50_1,RPL32,26.527
E_50_1,RPL32,26.441
E_25_3,RPL32,26.837
E_25_3,RPL32,26.784
E_25_3,RPL32,26.714
E_100_3,WSP,24.115
E_100_3,WSP,24.235
E_100_3,WSP,24.194
E_25_8,WSP,23.256
E_25_8,WSP,23.304
E_25_8,WSP,23.313
E_100_5,WSP,24.273
E_100_5,WSP,24.221
E_100_5,WSP,24.281
E_0_9,WSP,22.964
E_0_9,WSP,22.919
E_0_9,WSP,22.937
E_12.5_6,WSP,22.922
E_12.5_6,WSP,22.961
E_12.5_6,WSP,22.988
E_12.5_13,WSP,22.962
E_12.5_13,WSP,23.003
E_12.5_13,WSP,23.047
E_50_7,WSP,24.015
E_50_7,WSP,24.072
E_50_7,WSP,23.847
E_100_3,RPL32,26.744
E_100_3,RPL32,26.744
E_100_3,RPL32,26.817
E_25_8,RPL32,26.904
E_25_8,RPL32,26.709
E_25_8,RPL32,26.695
E_100_5,RPL32,26.473
E_100_5,RPL32,26.49
E_100_5,RPL32,26.564
E_0_9,RPL32,26.619
E_0_9,RPL32,26.337
E_0_9,RPL32,26.462
E_12.5_6,RPL32,26.494
E_12.5_6,RPL32,26.322
E_12.5_6,RPL32,26.387
E_12.5_13,RPL32,26.179
E_12.5_13,RPL32,26.159
E_12.5_13,RPL32,26.262
E_50_7,RPL32,26.84
E_50_7,RPL32,26.754
E_50_7,RPL32,26.75
E_50_12,WSP,23.947
E_50_12,WSP,24.081
E_50_12,WSP,24.807
E_0_11,WSP,23.581
E_0_11,WSP,23.376
E_0_11,WSP,23.494
E_12.5_2,WSP,23.91
E_12.5_2,WSP,23.93
E_12.5_2,WSP,23.871
E_200_4,WSP,27.438
E_200_4,WSP,27.4
E_200_4,WSP,27.502
E_12.5_1,WSP,23.477
E_12.5_1,WSP,27.441
E_12.5_1,WSP,23.404
E_50_2,WSP,24.106
E_50_2,WSP,24.28
E_50_2,WSP,23.998
E_12.5_11,WSP,23.366
E_12.5_11,WSP,23.369
E_12.5_11,WSP,23.422
E_50_12,RPL32,26.867
E_50_12,RPL32,26.825
E_50_12,RPL32,26.672
E_0_11,RPL32,26.795
E_0_11,RPL32,26.718
E_0_11,RPL32,26.754
E_12.5_2,RPL32,26.827
E_12.5_2,RPL32,26.675
E_12.5_2,RPL32,26.644
E_200_4,RPL32,26.846
E_200_4,RPL32,26.957
E_200_4,RPL32,26.675
E_12.5_1,RPL32,26.929
E_12.5_1,RPL32,26.747
E_12.5_1,RPL32,26.768
E_50_2,RPL32,26.56
E_50_2,RPL32,26.702
E_50_2,RPL32,26.744
E_12.5_11,RPL32,26.507
E_12.5_11,RPL32,26.556
E_12.5_11,RPL32,26.538
E_100_6,WSP,24.413
E_100_6,WSP,24.511
E_100_6,WSP,24.483
E_50_4,WSP,23.951
E_50_4,WSP,23.977
E_50_4,WSP,23.998
E_25_2,WSP,23.765
E_25_2,WSP,23.753
E_25_2,WSP,23.691
E_50_3,WSP,24.126
E_50_3,WSP,23.913
E_50_3,WSP,24.046
E_12.5_9,WSP,23.364
E_12.5_9,WSP,23.967
E_12.5_9,WSP,23.353
E_0_7,WSP,22.68
E_0_7,WSP,22.793
E_0_7,WSP,22.762
E_200_1,WSP,24.85
E_200_1,WSP,24.94
E_200_1,WSP,24.863
E_0_1,WSP,23.043
E_0_1,WSP,23.079
E_0_1,WSP,23.056
E_100_6,RPL32,26.782
E_100_6,RPL32,26.957
E_100_6,RPL32,26.938
E_50_4,RPL32,26.98
E_50_4,RPL32,27.314
E_50_4,RPL32,26.996
E_25_2,RPL32,26.876
E_25_2,RPL32,26.857
E_25_2,RPL32,26.864
E_50_3,RPL32,26.847
E_50_3,RPL32,26.753
E_50_3,RPL32,26.889
E_12.5_9,RPL32,26.52
E_12.5_9,RPL32,26.604
E_12.5_9,RPL32,26.534
E_0_7,RPL32,25.788
E_0_7,RPL32,25.993
E_0_7,RPL32,25.97
E_200_1,RPL32,26.176
E_200_1,RPL32,26.284
E_200_1,RPL32,26.159
E_0_1,RPL32,26.655
E_0_1,RPL32,26.756
E_0_1,RPL32,26.838
E_25_5,WSP,23.899
E_25_5,WSP,23.902
E_25_5,WSP,23.982
E_0_4,WSP,23.292
E_0_4,WSP,23.158
E_0_4,WSP,23.289
E_25_11,WSP,23.414
E_25_11,WSP,23.576
E_25_11,WSP,23.428
E_100_7,WSP,23.372
E_100_7,WSP,23.385
E_100_7,WSP,23.4
E_25_6,WSP,23.481
E_25_6,WSP,23.354
E_25_6,WSP,23.485
E_12.5_12,WSP,23.197
E_12.5_12,WSP,23.265
E_12.5_12,WSP,23.21
E_50_11,WSP,23.298
E_50_11,WSP,23.327
E_50_11,WSP,22.995
E_100_9,WSP,23.193
E_100_9,WSP,23.153
E_100_9,WSP,23.143
E_25_5,RPL32,27.185
E_25_5,RPL32,27.075
E_25_5,RPL32,27.018
E_0_4,RPL32,26.82
E_0_4,RPL32,26.61
E_0_4,RPL32,26.476
E_25_11,RPL32,26.27
E_25_11,RPL32,26.211
E_25_11,RPL32,26.386
E_100_7,RPL32,26.277
E_100_7,RPL32,26.313
E_100_7,RPL32,26.29
E_25_6,RPL32,26.314
E_25_6,RPL32,26.645
E_25_6,RPL32,26.478
E_12.5_12,RPL32,26.254
E_12.5_12,RPL32,26.503
E_12.5_12,RPL32,26.318
E_50_11,RPL32,26.329
E_50_11,RPL32,26.199
E_50_11,RPL32,26.316
E_100_9,RPL32,26.243
E_100_9,RPL32,26.393
E_100_9,RPL32,26.276
E_100_2,WSP,23.958
E_100_2,WSP,24.008
E_100_2,WSP,23.974
E_50_8,WSP,24.295
E_50_8,WSP,24.313
E_50_8,WSP,24.33
E_200_3,WSP,26.343
E_200_3,WSP,26.438
E_200_3,WSP,26.236
E_0_10,WSP,23.058
E_0_10,WSP,23.038
E_0_10,WSP,23.025
E_12.5_7,WSP,23.556
E_12.5_7,WSP,23.053
E_12.5_7,WSP,23.462
E_0_2,WSP,22.786
E_0_2,WSP,22.769
E_0_2,WSP,22.813
E_25_10,WSP,22.934
E_25_10,WSP,22.869
E_25_10,WSP,22.694
E_0_12,WSP,22.975
E_0_12,WSP,23.119
E_0_12,WSP,22.934
E_100_2,RPL32,26.985
E_100_2,RPL32,26.95
E_100_2,RPL32,26.958
E_50_8,RPL32,27.048
E_50_8,RPL32,26.993
E_50_8,RPL32,27.077
E_200_3,RPL32,26.917
E_200_3,RPL32,26.978
E_200_3,RPL32,26.991
E_0_10,RPL32,26.535
E_0_10,RPL32,26.484
E_0_10,RPL32,26.465
E_12.5_7,RPL32,26.538
E_12.5_7,RPL32,26.535
E_12.5_7,RPL32,26.553
E_0_2,RPL32,26.382
E_0_2,RPL32,26.488
E_0_2,RPL32,26.429
E_25_10,RPL32,26.413
E_25_10,RPL32,26.64
E_25_10,RPL32,26.513
E_0_12,RPL32,26.702
E_0_12,RPL32,26.788
E_0_12,RPL32,26.805
