sample,gene,cts,fly_generations
C_Y_Y_Y_D_1,WSP,22.401,1
C_Y_Y_Y_D_1,WSP,22.356,1
C_Y_Y_Y_D_1,RPL32,26.872,1
C_Y_Y_Y_D_1,RPL32,26.857,1
C_Y_Y_N_B_1,WSP,22.86,1
C_Y_Y_N_B_1,WSP,22.808,1
C_Y_Y_N_F_1,WSP,22.702,1
C_Y_Y_N_F_1,WSP,22.751,1
C_Y_Y_N_E_1,WSP,22.404,1
C_Y_Y_N_E_1,WSP,22.548,1
C_Y_Y_N_B_1,RPL32,26.786,1
C_Y_Y_N_B_1,RPL32,26.825,1
C_Y_Y_N_F_1,RPL32,26.599,1
C_Y_Y_N_F_1,RPL32,26.446,1
C_Y_Y_N_E_1,RPL32,25.983,1
C_Y_Y_N_E_1,RPL32,25.843,1
C_Y_Y_N_A_1,WSP,22.23,1
C_Y_Y_N_A_1,WSP,22.331,1
C_Y_Y_Y_C_1,WSP,22.022,1
C_Y_Y_Y_C_1,WSP,22.058,1
C_Y_Y_N_A_1,RPL32,26.367,1
C_Y_Y_N_A_1,RPL32,26.296,1
C_Y_Y_Y_C_1,RPL32,26.045,1
C_Y_Y_Y_C_1,RPL32,26.465,1
L_N_Y_N_C_1,WSP,24.325,1
L_N_Y_N_C_1,WSP,24.349,1
L_N_Y_N_C_1,RPL32,27.205,1
L_N_Y_N_C_1,RPL32,27.047,1
L_N_Y_Y_A_1,WSP,19.889,1
L_N_Y_Y_A_1,WSP,19.985,1
L_N_Y_N_B_1,WSP,20.176,1
L_N_Y_N_B_1,WSP,20.223,1
L_N_Y_Y_A_1,RPL32,26.624,1
L_N_Y_Y_A_1,RPL32,26.461,1
L_N_Y_N_B_1,RPL32,25.828,1
L_N_Y_N_B_1,RPL32,25.766,1
L_N_Y_N_F_1,WSP,24.089,1
L_N_Y_N_F_1,WSP,24.226,1
L_N_Y_N_D_1,WSP,24.392,1
L_N_Y_N_D_1,WSP,24.459,1
L_N_Y_N_F_1,RPL32,25.983,1
L_N_Y_N_F_1,RPL32,25.835,1
L_N_Y_N_D_1,RPL32,27.389,1
L_N_Y_N_D_1,RPL32,27.632,1
L_N_Y_N_E_1,WSP,24.594,1
L_N_Y_N_E_1,WSP,24.565,1
L_N_Y_N_E_1,RPL32,27.079,1
L_N_Y_N_E_1,RPL32,27.104,1
C_Y_N_N_C_1,WSP,23.885,2
C_Y_N_N_C_1,WSP,24.093,2
C_Y_N_N_C_4,WSP,22.483,2
C_Y_N_N_C_4,WSP,22.531,2
C_Y_N_N_C_1,RPL32,28.657,2
C_Y_N_N_C_1,RPL32,28.395,2
C_Y_N_N_C_4,RPL32,26.083,2
C_Y_N_N_C_4,RPL32,26.265,2
C_Y_N_N_C_2,WSP,22.908,2
C_Y_N_N_C_2,WSP,22.922,2
C_Y_N_N_C_2,RPL32,27.474,2
C_Y_N_N_C_2,RPL32,27.39,2
C_N_Y_N_D_5,WSP,22.919,2
C_N_Y_N_D_5,WSP,22.902,2
C_N_Y_N_D_5,RPL32,26.833,2
C_N_Y_N_D_5,RPL32,26.78,2
C_N_Y_N_D_2,WSP,23.206,2
C_N_Y_N_D_2,WSP,22.89,2
C_N_Y_N_D_2,RPL32,26.934,2
C_N_Y_N_D_2,RPL32,26.897,2
C_N_Y_N_D_4,WSP,23.126,2
C_N_Y_N_D_4,WSP,22.776,2
C_N_Y_N_D_4,RPL32,26.768,2
C_N_Y_N_D_4,RPL32,26.706,2
C_N_Y_N_D_1,WSP,22.757,2
C_N_Y_N_D_1,WSP,23.027,2
C_N_Y_Y_D_3,WSP,23.297,2
C_N_Y_Y_D_3,WSP,23.401,2
C_N_Y_N_D_1,RPL32,26.931,2
C_N_Y_N_D_1,RPL32,26.945,2
C_N_Y_Y_D_3,RPL32,26.894,2
C_N_Y_Y_D_3,RPL32,26.885,2
L_N_Y_N_A_4,WSP,19.229,2
L_N_Y_N_A_4,WSP,19.49,2
L_N_Y_N_A_4,RPL32,26.807,2
L_N_Y_N_A_4,RPL32,26.707,2
L_N_Y_N_A_5,WSP,19.684,2
L_N_Y_N_A_5,WSP,19.813,2
L_N_Y_N_A_2,WSP,19.531,2
L_N_Y_N_A_2,WSP,19.283,2
L_N_Y_N_A_5,RPL32,26.487,2
L_N_Y_N_A_5,RPL32,26.172,2
L_N_Y_N_A_2,RPL32,26.715,2
L_N_Y_N_A_2,RPL32,26.486,2
L_N_Y_N_A_1,WSP,19.296,2
L_N_Y_N_A_1,WSP,19.213,2
L_N_Y_N_A_1,RPL32,26.568,2
L_N_Y_N_A_1,RPL32,26.072,2
L_N_Y_N_A_3,WSP,19.413,2
L_N_Y_N_A_3,WSP,19.578,2
L_N_Y_N_A_3,RPL32,26.969,2
L_N_Y_N_A_3,RPL32,27.012,2
C_Y_N_N_C_1,WSP,21.276,3
C_Y_N_N_C_1,WSP,21.205,3
C_Y_N_N_C_1,RPL32,27.563,3
C_Y_N_N_C_1,RPL32,27.475,3
C_Y_N_N_C_2,WSP,21.451,3
C_Y_N_N_C_2,WSP,21.351,3
C_Y_N_N_C_2,RPL32,27.439,3
C_Y_N_N_C_2,RPL32,27.638,3
C_Y_N_N_C_5,WSP,21.276,3
C_Y_N_N_C_5,WSP,21.277,3
C_Y_N_N_C_3,WSP,20.821,3
C_Y_N_N_C_3,WSP,20.798,3
C_Y_N_N_C_5,RPL32,26.388,3
C_Y_N_N_C_5,RPL32,26.314,3
C_Y_N_N_C_3,RPL32,26.065,3
C_Y_N_N_C_3,RPL32,26.218,3
C_Y_N_N_C_4,WSP,21.133,3
C_Y_N_N_C_4,WSP,20.841,3
C_Y_N_N_C_4,RPL32,26.398,3
C_Y_N_N_C_4,RPL32,26.439,3
C_N_Y_N_D_5,WSP,21.433,3
C_N_Y_N_D_5,WSP,21.248,3
C_N_Y_N_D_3,WSP,21.506,3
C_N_Y_N_D_3,WSP,21.502,3
C_N_Y_N_D_4,WSP,21.3,3
C_N_Y_N_D_4,WSP,21.339,3
C_N_Y_N_D_5,RPL32,26.984,3
C_N_Y_N_D_5,RPL32,26.988,3
C_N_Y_N_D_3,RPL32,26.992,3
C_N_Y_N_D_3,RPL32,27.155,3
C_N_Y_N_D_4,RPL32,26.422,3
C_N_Y_N_D_4,RPL32,26.57,3
C_N_Y_N_D_2,WSP,21.117,3
C_N_Y_N_D_2,WSP,20.802,3
C_N_Y_N_D_2,RPL32,25.862,3
C_N_Y_N_D_2,RPL32,25.769,3
C_N_Y_N_D_1,WSP,21.595,3
C_N_Y_N_D_1,WSP,21.11,3
C_N_Y_N_D_1,RPL32,26.251,3
C_N_Y_N_D_1,RPL32,26.242,3
L_N_Y_N_A_7,WSP,18.231,3
L_N_Y_N_A_7,WSP,18.146,3
L_N_Y_N_A_7,RPL32,26.077,3
L_N_Y_N_A_7,RPL32,25.992,3
L_N_Y_N_A_1,WSP,18.785,3
L_N_Y_N_A_1,WSP,18.823,3
L_N_Y_N_A_1,RPL32,26.733,3
L_N_Y_N_A_1,RPL32,26.549,3
L_N_Y_N_A_10,WSP,17.643,3
L_N_Y_N_A_10,WSP,17.427,3
L_N_Y_N_A_6,WSP,17.433,3
L_N_Y_N_A_6,WSP,17.537,3
L_N_Y_N_A_10,RPL32,26.478,3
L_N_Y_N_A_10,RPL32,26.283,3
L_N_Y_N_A_6,RPL32,26.139,3
L_N_Y_N_A_6,RPL32,26.230,3
L_N_Y_N_A_2,WSP,17.582,3
L_N_Y_N_A_2,WSP,17.663,3
L_N_Y_N_A_4,WSP,18.263,3
L_N_Y_N_A_4,WSP,17.876,3
L_N_Y_N_A_2,RPL32,27.312,3
L_N_Y_N_A_2,RPL32,27.125,3
L_N_Y_N_A_4,RPL32,26.966,3
L_N_Y_N_A_4,RPL32,26.790,3
L_N_Y_Y_A_3,WSP,17.654,3
L_N_Y_Y_A_3,WSP,17.867,3
L_N_Y_Y_A_3,RPL32,27.495,3
L_N_Y_Y_A_3,RPL32,27.279,3
L_N_Y_N_A_8,WSP,18.183,3
L_N_Y_N_A_8,WSP,17.818,3
L_N_Y_N_A_8,RPL32,26.713,3
L_N_Y_N_A_8,RPL32,26.793,3
L_N_Y_N_A_5,WSP,17.251,3
L_N_Y_N_A_5,WSP,18.047,3
L_N_Y_N_A_5,RPL32,28.038,3
L_N_Y_N_A_5,RPL32,27.984,3
C_Y_N_N_C_2,WSP,22.071,4
C_Y_N_N_C_2,WSP,22.14,4
C_Y_N_N_C_2,RPL32,26.408,4
C_Y_N_N_C_2,RPL32,26.344,4
C_Y_N_N_C_1,WSP,22.139,4
C_Y_N_N_C_1,WSP,22.14,4
C_Y_N_N_C_1,RPL32,26.438,4
C_Y_N_N_C_1,RPL32,26.441,4
C_Y_N_N_C_4,WSP,22.423,4
C_Y_N_N_C_4,WSP,22.351,4
C_Y_N_N_C_4,RPL32,26.675,4
C_Y_N_N_C_4,RPL32,26.677,4
C_Y_N_N_C_5,WSP,22.835,4
C_Y_N_N_C_5,WSP,22.802,4
C_Y_N_N_C_5,RPL32,26.413,4
C_Y_N_N_C_5,RPL32,26.447,4
C_N_Y_N_D_3,WSP,22.744,4
C_N_Y_N_D_3,WSP,22.756,4
C_N_Y_N_D_2,WSP,23.281,4
C_N_Y_N_D_2,WSP,23.252,4
C_N_Y_N_D_3,RPL32,26.831,4
C_N_Y_N_D_3,RPL32,26.865,4
C_N_Y_N_D_2,RPL32,27.277,4
C_N_Y_N_D_2,RPL32,26.92,4
C_N_Y_N_D_4,WSP,22.384,4
C_N_Y_N_D_4,WSP,22.515,4
C_N_Y_N_D_5,WSP,22.205,4
C_N_Y_N_D_5,WSP,22.115,4
C_N_Y_N_D_4,RPL32,26.643,4
C_N_Y_N_D_4,RPL32,26.745,4
C_N_Y_N_D_5,RPL32,26.214,4
C_N_Y_N_D_5,RPL32,26.191,4
C_N_Y_N_D_1,WSP,22.326,4
C_N_Y_N_D_1,WSP,22.251,4
C_N_Y_N_D_1,RPL32,26.625,4
C_N_Y_N_D_1,RPL32,26.529,4
L_N_Y_N_A_2,WSP,17.894,4
L_N_Y_N_A_2,WSP,17.869,4
L_N_Y_N_A_2,RPL32,26.624,4
L_N_Y_N_A_2,RPL32,26.481,4
L_N_Y_N_A_4,WSP,18.805,4
L_N_Y_N_A_4,WSP,18.701,4
L_N_Y_N_A_4,RPL32,26.808,4
L_N_Y_N_A_4,RPL32,26.716,4
L_N_Y_N_A_8,WSP,18.031,4
L_N_Y_N_A_8,WSP,18.112,4
L_N_Y_N_A_1,WSP,18.068,4
L_N_Y_N_A_1,WSP,18.091,4
L_N_Y_N_A_8,RPL32,26.616,4
L_N_Y_N_A_8,RPL32,26.618,4
L_N_Y_N_A_1,RPL32,26.410,4
L_N_Y_N_A_1,RPL32,26.406,4
L_N_Y_Y_A_7,WSP,18.125,4
L_N_Y_Y_A_7,WSP,18.036,4
L_N_Y_N_A_3,WSP,18.512,4
L_N_Y_N_A_3,WSP,18.268,4
L_N_Y_N_A_6,WSP,17.522,4
L_N_Y_N_A_6,WSP,17.691,4
L_N_Y_Y_A_7,RPL32,27.160,4
L_N_Y_Y_A_7,RPL32,27.061,4
L_N_Y_N_A_3,RPL32,27.144,4
L_N_Y_N_A_3,RPL32,26.795,4
L_N_Y_N_A_6,RPL32,26.283,4
L_N_Y_N_A_6,RPL32,26.310,4
L_N_Y_N_A_9,WSP,17.825,4
L_N_Y_N_A_9,WSP,17.624,4
L_N_Y_N_A_9,RPL32,26.305,4
L_N_Y_N_A_9,RPL32,26.363,4
