sample,gene,cts
E_0_2,WSP,22.734
E_0_2,WSP,22.989
E_2000_5,WSP,26.828
E_2000_5,WSP,26.727
E_1000_1,WSP,23.55
E_1000_1,WSP,23.516
E_4000_8,WSP,23.29
E_4000_8,WSP,23.188
E_8000_9,WSP,26.073
E_8000_9,WSP,26.098
E_2000_4,WSP,24.793
E_2000_4,WSP,24.892
E_200_5,WSP,24.352
E_200_5,WSP,24.348
E_0_4,WSP,22.448
E_0_4,WSP,22.713
E_4000_7,WSP,22.524
E_4000_7,WSP,22.692
E_0_2,RPL32,27.429
E_0_2,RPL32,27.635
E_2000_5,RPL32,27.986
E_2000_5,RPL32,27.826
E_1000_1,RPL32,26.089
E_1000_1,RPL32,25.984
E_4000_8,RPL32,26.112
E_4000_8,RPL32,26.266
E_8000_9,RPL32,26.263
E_8000_9,RPL32,26.129
E_2000_4,RPL32,26.632
E_2000_4,RPL32,26.694
E_200_5,RPL32,26.347
E_200_5,RPL32,26.658
E_0_4,RPL32,26.094
E_0_4,RPL32,26.024
E_4000_7,RPL32,26.2
E_4000_7,RPL32,25.973
E_200_8,WSP,23.132
E_200_8,WSP,23.261
E_200_6,WSP,23.051
E_200_6,WSP,22.998
E_1000_10,WSP,28.382
E_1000_10,WSP,28.344
E_500_2,WSP,23.985
E_500_2,WSP,23.944
E_2000_3,WSP,24.438
E_2000_3,WSP,24.34
E_1000_3,WSP,24.33
E_1000_3,WSP,24.485
E_1000_5,WSP,25.603
E_1000_5,WSP,25.669
E_1000_7,WSP,24.882
E_1000_7,WSP,24.995
E_200_8,RPL32,26.732
E_200_8,RPL32,26.494
E_200_6,RPL32,27.063
E_200_6,RPL32,27.167
E_1000_10,RPL32,26.875
E_1000_10,RPL32,26.969
E_500_2,RPL32,27.521
E_500_2,RPL32,27.466
E_2000_3,RPL32,26.494
E_2000_3,RPL32,26.623
E_1000_3,RPL32,26.295
E_1000_3,RPL32,26.379
E_1000_5,RPL32,25.852
E_1000_5,RPL32,25.805
E_1000_7,RPL32,25.764
E_1000_7,RPL32,25.831
E_8000_4,WSP,26.639
E_8000_4,WSP,26.607
E_0_5,WSP,22.752
E_0_5,WSP,22.936
E_4000_6,WSP,22.948
E_4000_6,WSP,22.938
E_8000_5,WSP,26.342
E_8000_5,WSP,26.335
E_1000_9,WSP,26.781
E_1000_9,WSP,26.694
E_500_3,WSP,24.168
E_500_3,WSP,24.38
E_8000_2,WSP,24.606
E_8000_2,WSP,24.633
E_4000_10,WSP,24.654
E_4000_10,WSP,24.485
E_8000_4,RPL32,26.603
E_8000_4,RPL32,26.464
E_0_5,RPL32,27.045
E_0_5,RPL32,26.984
E_4000_6,RPL32,26.014
E_4000_6,RPL32,26
E_8000_5,RPL32,27.451
E_8000_5,RPL32,27.541
E_1000_9,RPL32,26.528
E_1000_9,RPL32,26.546
E_500_3,RPL32,26.933
E_500_3,RPL32,26.671
E_8000_2,RPL32,25.437
E_8000_2,RPL32,25.452
E_4000_10,RPL32,25.915
E_4000_10,RPL32,25.981
E_2000_10,WSP,25.323
E_2000_10,WSP,25.488
E_500_10,WSP,22.948
E_500_10,WSP,22.982
E_200_4,WSP,27.817
E_200_4,WSP,27.662
E_1000_4,WSP,24.384
E_1000_4,WSP,24.463
E_2000_8,WSP,24.248
E_2000_8,WSP,24.14
E_8000_1,WSP,24.783
E_8000_1,WSP,24.544
E_8000_6,WSP,23.741
E_8000_6,WSP,23.737
E_2000_10,RPL32,26.257
E_2000_10,RPL32,26.44
E_500_10,RPL32,26.497
E_500_10,RPL32,26.433
E_200_4,RPL32,30.566
E_200_4,RPL32,30.307
E_1000_4,RPL32,26.729
E_1000_4,RPL32,26.491
E_2000_8,RPL32,26.121
E_2000_8,RPL32,26.133
E_8000_1,RPL32,25.489
E_8000_1,RPL32,25.396
E_8000_6,RPL32,25.604
E_8000_6,RPL32,25.561
E_200_10,WSP,22.72
E_200_10,WSP,22.795
E_0_3,WSP,22.631
E_0_3,WSP,22.626
E_4000_9,WSP,24.34
E_4000_9,WSP,24.521
E_4000_3,WSP,24.164
E_4000_3,WSP,23.903
E_2000_1,WSP,23.612
E_2000_1,WSP,23.471
E_1000_2,WSP,23.252
E_1000_2,WSP,23.298
E_1000_8,WSP,25.377
E_1000_8,WSP,25.313
E_500_9,WSP,23.56
E_500_9,WSP,23.675
E_200_10,RPL32,26.174
E_200_10,RPL32,26.659
E_0_3,RPL32,26.506
E_0_3,RPL32,26.579
E_4000_9,RPL32,26.454
E_4000_9,RPL32,26.385
E_4000_3,RPL32,26.79
E_4000_3,RPL32,26.663
E_2000_1,RPL32,25.992
E_2000_1,RPL32,25.902
E_1000_2,RPL32,25.833
E_1000_2,RPL32,25.78
E_1000_8,RPL32,25.893
E_1000_8,RPL32,25.765
E_500_9,RPL32,25.818
E_500_9,RPL32,26.015
E_500_6,WSP,22.817
E_500_6,WSP,22.968
E_500_1,WSP,23.889
E_500_1,WSP,23.754
E_8000_10,WSP,27.286
E_8000_10,WSP,27.084
E_8000_7,WSP,24.559
E_8000_7,WSP,24.497
E_200_7,WSP,23.15
E_200_7,WSP,23.171
E_200_3,WSP,23.548
E_200_3,WSP,23.448
E_200_2,WSP,21.541
E_200_2,WSP,21.469
E_2000_7,WSP,22.533
E_2000_7,WSP,22.553
E_500_6,RPL32,27.078
E_500_6,RPL32,27.15
E_500_1,RPL32,27.246
E_500_1,RPL32,27.276
E_8000_10,RPL32,27.76
E_8000_10,RPL32,27.676
E_8000_7,RPL32,26.073
E_8000_7,RPL32,25.948
E_200_7,RPL32,27.221
E_200_7,RPL32,26.92
E_200_3,RPL32,26.772
E_200_3,RPL32,26.809
E_200_2,RPL32,25.258
E_200_2,RPL32,25.22
E_2000_7,RPL32,25.567
E_2000_7,RPL32,25.677
E_2000_9,WSP,24.7
E_2000_9,WSP,24.877
E_500_4,WSP,24.784
E_500_4,WSP,24.684
E_8000_3,WSP,26.564
E_8000_3,WSP,26.533
E_500_8,WSP,24.139
E_500_8,WSP,24.242
E_4000_2,WSP,23.253
E_4000_2,WSP,23.159
E_0_1,WSP,22.222
E_0_1,WSP,21.916
E_200_1,WSP,21.675
E_200_1,WSP,21.677
E_4000_5,WSP,25.374
E_4000_5,WSP,25.396
E_2000_9,RPL32,26.359
E_2000_9,RPL32,26.397
E_500_4,RPL32,27.391
E_500_4,RPL32,27.544
E_8000_3,RPL32,27.072
E_8000_3,RPL32,27.059
E_500_8,RPL32,26.215
E_500_8,RPL32,26.022
E_4000_2,RPL32,25.958
E_4000_2,RPL32,25.971
E_0_1,RPL32,26.493
E_0_1,RPL32,26.502
E_200_1,RPL32,24.976
E_200_1,RPL32,25.161
E_4000_5,RPL32,25.928
E_4000_5,RPL32,26.091
E_200_9,WSP,22.791
E_200_9,WSP,22.774
E_2000_2,WSP,23.868
E_2000_2,WSP,23.87
E_500_7,WSP,23.234
E_500_7,WSP,23.107
E_1000_6,WSP,27.781
E_1000_6,WSP,27.354
E_4000_4,WSP,24.807
E_4000_4,WSP,24.78
E_4000_1,WSP,23.345
E_4000_1,WSP,23.387
E_500_5,WSP,24.79
E_500_5,WSP,24.793
E_8000_8,WSP,24.633
E_8000_8,WSP,24.377
E_200_9,RPL32,26.97
E_200_9,RPL32,26.982
E_2000_2,RPL32,25.94
E_2000_2,RPL32,25.956
E_500_7,RPL32,26.721
