sample,gene,cts
wMelOctoless_5,rpoD,19.942
wMelOctoless_1,WD0510,Undetermined
wMelOctoless_1,rpoD,20.058
wMelOctoless_2,WD0510,Undetermined
wMelOctoless_2,rpoD,19.574
wMelOctoless_3,WD0510,Undetermined
wMelOctoless_3,rpoD,19.8
wMelOctoless_4,WD0510,Undetermined
wMelOctoless_4,rpoD,19.914
wMelOctoless_5,WD0510,Undetermined
wMelOctoless_5,rpoD,19.804
wMelOctoless_1,WD0511,Undetermined
wMelOctoless_1,WD0511,Undetermined
wMelCS-b_1,WD0511,22.616
wMelCS-b_1,WD0511,22.673
wMelPop2_5,WD0511,17.297
wMelPop2_5,WD0511,17.124
wMelOctoless_1,WD0513,Undetermined
wMelOctoless_1,WD0513,Undetermined
wMelCS-b_1,WD0513,21.582
wMelCS-b_1,WD0513,21.491
wMelPop2_5,WD0513,15.799
wMelPop2_5,WD0513,15.696
wMelOctoless_1,WD0512,Undetermined
wMelOctoless_1,WD0512,Undetermined
wMelCS-b_1,WD0512,22.019
wMelCS-b_1,WD0512,22.09
wMelPop2_5,WD0512,16.584
wMelPop2_5,WD0512,16.522
wMelOctoless_1,WD0514,Undetermined
wMelOctoless_1,WD0514,Undetermined
wMelCS-b_1,WD0514,24.09
wMelCS-b_1,WD0514,23.712
wMelPop2_5,WD0514,18.137
wMelPop2_5,WD0514,17.994
wMelOctoless_2,WD0511,Undetermined
wMelOctoless_2,WD0511,Undetermined
wMelCS-b_2,WD0511,22.981
wMelCS-b_2,WD0511,23.018
wMelPop2_6,WD0511,17.411
wMelPop2_6,WD0511,17.149
wMelOctoless_2,WD0513,Undetermined
wMelOctoless_2,WD0513,Undetermined
wMelCS-b_2,WD0513,21.816
wMelCS-b_2,WD0513,21.929
wMelPop2_6,WD0513,16.004
wMelPop2_6,WD0513,16.033
wMelOctoless_2,WD0512,Undetermined
wMelOctoless_2,WD0512,Undetermined
wMelCS-b_2,WD0512,22.324
wMelCS-b_2,WD0512,22.379
wMelPop2_6,WD0512,16.525
wMelPop2_6,WD0512,16.49
wMelOctoless_2,WD0514,Undetermined
wMelOctoless_2,WD0514,Undetermined
wMelCS-b_2,WD0514,24.26
wMelCS-b_2,WD0514,23.982
wMelPop2_6,WD0514,18.352
wMelPop2_6,WD0514,18.3
wMelOctoless_3,WD0511,Undetermined
wMelOctoless_3,WD0511,Undetermined
wMelCS-b_3,WD0511,22.906
wMelCS-b_3,WD0511,22.654
wMelPop2_7,WD0511,16.717
wMelPop2_7,WD0511,16.913
wMelOctoless_3,WD0513,Undetermined
wMelOctoless_3,WD0513,Undetermined
wMelCS-b_3,WD0513,21.394
wMelCS-b_3,WD0513,21.102
wMelPop2_7,WD0513,15.872
wMelPop2_7,WD0513,15.571
wMelOctoless_3,WD0512,Undetermined
wMelOctoless_3,WD0512,Undetermined
wMelCS-b_3,WD0512,22
wMelCS-b_3,WD0512,21.976
wMelPop2_7,WD0512,16.211
wMelPop2_7,WD0512,16.346
wMelOctoless_3,WD0514,Undetermined
wMelOctoless_3,WD0514,Undetermined
wMelCS-b_3,WD0514,23.773
wMelCS-b_3,WD0514,23.567
wMelPop2_7,WD0514,17.933
wMelPop2_7,WD0514,17.892
wMelOctoless_4,WD0511,Undetermined
wMelOctoless_4,WD0511,Undetermined
wMelCS-b_4,WD0511,22.919
wMelCS-b_4,WD0511,22.616
wMelPop2_8,WD0511,17.121
wMelPop2_8,WD0511,17.443
wMelOctoless_4,WD0513,Undetermined
wMelOctoless_4,WD0513,34.539
wMelCS-b_4,WD0513,21.117
wMelCS-b_4,WD0513,21.113
wMelPop2_8,WD0513,15.944
wMelPop2_8,WD0513,15.994
wMelOctoless_4,WD0512,Undetermined
wMelOctoless_4,WD0512,39.58
wMelCS-b_4,WD0512,22.056
wMelCS-b_4,WD0512,21.979
wMelPop2_8,WD0512,16.682
wMelPop2_8,WD0512,16.603
wMelOctoless_4,WD0514,Undetermined
wMelOctoless_4,WD0514,Undetermined
wMelCS-b_4,WD0514,23.491
wMelCS-b_4,WD0514,23.293
wMelPop2_8,WD0514,18.284
wMelPop2_8,WD0514,18.163
wMelOctoless_5,WD0511,Undetermined
wMelOctoless_5,WD0511,Undetermined
wMelCS-b_5,WD0511,22.601
wMelCS-b_5,WD0511,22.689
wMelPop2_9,WD0511,16.571
wMelPop2_9,WD0511,16.777
wMelOctoless_5,WD0513,Undetermined
wMelOctoless_5,WD0513,Undetermined
wMelCS-b_5,WD0513,21.405
wMelCS-b_5,WD0513,21.172
wMelPop2_9,WD0513,15.505
wMelPop2_9,WD0513,15.49
wMelOctoless_5,WD0512,Undetermined
wMelOctoless_5,WD0512,37.273
wMelCS-b_5,WD0512,21.997
wMelCS-b_5,WD0512,21.977
wMelPop2_9,WD0512,16.255
wMelPop2_9,WD0512,16.14
wMelOctoless_5,WD0514,Undetermined
wMelOctoless_5,WD0514,Undetermined
wMelCS-b_5,WD0514,23.507
wMelCS-b_5,WD0514,23.462
wMelPop2_9,WD0514,17.817
wMelPop2_9,WD0514,17.722
wMelPop2_5,WD0519,20.963
wMelPop2_5,WSP,19.161
wMelPop2_6,WD0519,20.989
wMelPop2_6,WSP,19.236
wMelPop2_7,WD0519,20.695
wMelPop2_7,WSP,18.936
wMelPop2_8,WD0519,20.926
wMelPop2_8,WSP,19.306
wMelPop2_9,WD0519,20.246
wMelPop2_9,WSP,18.633
wMelPop2_5,WD0519,20.548
wMelPop2_5,WSP,18.979
wMelPop2_6,WD0519,20.667
wMelPop2_6,WSP,19.186
wMelPop2_7,WD0519,20.642
wMelPop2_7,WSP,18.795
wMelPop2_8,WD0519,20.833
wMelPop2_8,WSP,19.253
wMelPop2_9,WD0519,20.608
wMelPop2_9,WSP,18.785
wMelCS-b_1,WD0519,23.585
wMelCS-b_1,WSP,21.545
wMelCS-b_2,WD0519,23.547
wMelCS-b_2,WSP,21.813
wMelCS-b_3,WD0519,23.338
wMelCS-b_3,WSP,21.466
wMelCS-b_4,WD0519,23.219
wMelCS-b_4,WSP,21.39
wMelCS-b_5,WD0519,23.149
wMelCS-b_5,WSP,21.505
wMelCS-b_1,WD0519,23.388
wMelCS-b_1,WSP,21.598
wMelCS-b_2,WD0519,23.384
wMelCS-b_2,WSP,21.788
wMelCS-b_3,WD0519,23.15
wMelCS-b_3,WSP,21.428
wMelCS-b_4,WD0519,23.057
wMelCS-b_4,WSP,21.445
wMelCS-b_5,WD0519,23.239
wMelCS-b_5,WSP,21.393
wMelOctoless_1,WD0519,20.227
wMelOctoless_1,WSP,18.396
wMelOctoless_2,WD0519,19.94
wMelOctoless_2,WSP,18.308
wMelOctoless_3,WD0519,20.203
wMelOctoless_3,WSP,18.43
wMelOctoless_4,WD0519,20.333
wMelOctoless_4,WSP,18.705
wMelOctoless_5,WD0519,20.025
wMelOctoless_5,WSP,18.52
wMelOctoless_1,WD0519,20.363
wMelOctoless_1,WSP,18.553
wMelOctoless_2,WD0519,19.918
wMelOctoless_2,WSP,18.22
wMelOctoless_3,WD0519,20.26
wMelOctoless_3,WSP,18.625
wMelOctoless_4,WD0519,20.298
wMelOctoless_4,WSP,18.604
wMelOctoless_5,WD0519,20.177
wMelOctoless_5,WSP,18.431
