sample	gene	cts	fly_generations
L_N_Y_N_D_5	RPL32	26.051	5
L_N_Y_N_D_10	WSP	21.211	5
L_N_Y_N_D_10	WSP	21.255	5
L_N_Y_N_D_4	WSP	20.216	5
L_N_Y_N_D_4	WSP	20.106	5
L_N_Y_N_D_10	RPL32	26.319	5
L_N_Y_N_D_10	RPL32	25.961	5
L_N_Y_N_D_4	RPL32	25.656	5
L_N_Y_N_D_4	RPL32	25.758	5
L_N_Y_Y_D_6	WSP	21.044	5
L_N_Y_Y_D_6	WSP	21.341	5
L_N_Y_Y_D_6	RPL32	27.275	5
L_N_Y_Y_D_6	RPL32	27.219	5
L_N_Y_N_D_8	WSP	21.108	5
L_N_Y_N_D_8	WSP	21.102	5
L_N_Y_N_D_7	WSP	20.623	5
L_N_Y_N_D_7	WSP	20.75	5
L_N_Y_N_D_2	WSP	20.739	5
L_N_Y_N_D_2	WSP	20.75	5
L_N_Y_N_D_3	WSP	19.894	5
L_N_Y_N_D_3	WSP	19.911	5
L_N_Y_N_D_8	RPL32	26.149	5
L_N_Y_N_D_8	RPL32	26.156	5
L_N_Y_N_D_7	RPL32	26.001	5
L_N_Y_N_D_7	RPL32	26.061	5
L_N_Y_N_D_2	RPL32	25.69	5
L_N_Y_N_D_2	RPL32	25.774	5
L_N_Y_N_D_3	RPL32	25.531	5
L_N_Y_N_D_3	RPL32	25.573	5
L_N_Y_N_D_9	WSP	20.818	5
L_N_Y_N_D_9	WSP	20.908	5
L_N_Y_N_D_9	RPL32	25.854	5
L_N_Y_N_D_9	RPL32	26.023	5
L_N_Y_N_D_1	WSP	20.356	5
L_N_Y_N_D_1	WSP	20.281	5
L_N_Y_N_D_1	RPL32	25.768	5
L_N_Y_N_D_1	RPL32	25.781	5
C_Y_N_N_A_3	WSP	21.99	6
C_Y_N_N_A_3	WSP	21.877	6
C_Y_N_N_A_3	RPL32	25.901	6
C_Y_N_N_A_3	RPL32	25.818	6
C_Y_N_N_A_1	WSP	22.671	6
C_Y_N_N_A_1	WSP	22.664	6
C_Y_N_N_A_1	RPL32	26.561	6
C_Y_N_N_A_1	RPL32	26.71	6
C_Y_N_Y_A_2	WSP	22.331	6
C_Y_N_Y_A_2	WSP	22.478	6
C_Y_N_Y_A_2	RPL32	26.678	6
C_Y_N_Y_A_2	RPL32	26.662	6
C_Y_N_N_A_5	WSP	21.888	6
C_Y_N_N_A_5	WSP	21.863	6
C_Y_N_N_A_5	RPL32	25.902	6
C_Y_N_N_A_5	RPL32	25.687	6
C_Y_N_N_A_4	WSP	22.237	6
C_Y_N_N_A_4	WSP	22.113	6
C_Y_N_N_A_4	RPL32	26.151	6
C_Y_N_N_A_4	RPL32	26.446	6
C_N_Y_N_B_2	WSP	22.833	6
C_N_Y_N_B_2	WSP	23.07	6
C_N_Y_N_B_2	RPL32	26.276	6
C_N_Y_N_B_2	RPL32	26.291	6
C_N_Y_N_B_3	WSP	22.501	6
C_N_Y_N_B_3	WSP	22.468	6
C_N_Y_N_B_3	RPL32	25.996	6
C_N_Y_N_B_3	RPL32	26.229	6
C_N_Y_Y_B_5	WSP	22.285	6
C_N_Y_Y_B_5	WSP	22.022	6
C_N_Y_Y_B_5	RPL32	26.695	6
C_N_Y_Y_B_5	RPL32	26.601	6
C_N_Y_N_B_4	WSP	22.966	6
C_N_Y_N_B_4	WSP	22.875	6
C_N_Y_N_B_4	RPL32	26.304	6
C_N_Y_N_B_4	RPL32	26.288	6
L_N_Y_N_D_3	WSP	20.218	6
L_N_Y_N_D_3	WSP	20.238	6
L_N_Y_N_D_3	RPL32	25.906	6
L_N_Y_N_D_3	RPL32	25.822	6
L_N_Y_Y_D_1	WSP	19.81	6
L_N_Y_Y_D_1	WSP	20.031	6
L_N_Y_Y_D_1	RPL32	26.402	6
L_N_Y_Y_D_1	RPL32	26.432	6
L_N_Y_N_D_2	WSP	20.09	6
L_N_Y_N_D_2	WSP	20.053	6
L_N_Y_N_D_2	RPL32	26.314	6
L_N_Y_N_D_2	RPL32	26.308	6
L_N_Y_N_D_4	WSP	20.161	6
L_N_Y_N_D_4	WSP	20.479	6
L_N_Y_N_D_4	RPL32	26.182	6
L_N_Y_N_D_4	RPL32	26.399	6
L_N_Y_N_D_5	WSP	20.612	6
L_N_Y_N_D_5	WSP	20.732	6
L_N_Y_N_D_5	RPL32	26.225	6
L_N_Y_N_D_5	RPL32	26.314	6
