sample	gene	cts	fly_generations
C_Y_Y_N_E_1	WSP	21.979	1
C_Y_Y_N_E_1	WSP	21.916	1
C_Y_Y_N_E_1	RPL32	26.053	1
C_Y_Y_N_E_1	RPL32	25.99	1
C_Y_Y_N_A_1	WSP	21.852	1
C_Y_Y_N_A_1	WSP	22.059	1
C_Y_Y_N_A_1	RPL32	26.16	1
C_Y_Y_N_A_1	RPL32	26.046	1
C_Y_Y_N_B_1	WSP	22.121	1
C_Y_Y_N_B_1	WSP	22.157	1
C_Y_Y_N_B_1	RPL32	26.415	1
C_Y_Y_N_B_1	RPL32	26.334	1
C_Y_Y_N_C_1	WSP	22.077	1
C_Y_Y_N_C_1	WSP	22.108	1
C_Y_Y_N_C_1	RPL32	26.145	1
C_Y_Y_N_C_1	RPL32	26.083	1
C_Y_Y_N_D_1	WSP	21.66	1
C_Y_Y_N_D_1	WSP	21.728	1
C_Y_Y_N_D_1	RPL32	26.038	1
C_Y_Y_N_D_1	RPL32	25.974	1
L_N_Y_N_A_1	WSP	23.248	1
L_N_Y_N_A_1	WSP	23.249	1
L_N_Y_N_A_1	RPL32	27.036	1
L_N_Y_N_A_1	RPL32	27.005	1
L_N_Y_N_C_1	WSP	22.256	1
L_N_Y_N_C_1	WSP	22.296	1
L_N_Y_N_B_1	WSP	22.192	1
L_N_Y_N_B_1	WSP	22.314	1
L_N_Y_N_C_1	RPL32	26.531	1
L_N_Y_N_C_1	RPL32	26.415	1
L_N_Y_N_B_1	RPL32	25.773	1
L_N_Y_N_B_1	RPL32	25.852	1
L_N_Y_N_E_1	WSP	23.033	1
L_N_Y_N_E_1	WSP	23.056	1
L_N_Y_N_E_1	RPL32	25.791	1
L_N_Y_N_E_1	RPL32	25.775	1
L_N_Y_N_D_1	WSP	23.142	1
L_N_Y_N_D_1	WSP	23.086	1
L_N_Y_N_D_1	RPL32	25.96	1
L_N_Y_N_D_1	RPL32	26.041	1
C_Y_N_N_A_2	WSP	19.986	4
C_Y_N_N_A_2	WSP	19.915	4
C_Y_N_N_A_2	RPL32	26.565	4
C_Y_N_N_A_2	RPL32	26.594	4
C_Y_N_N_A_4	WSP	19.741	4
C_Y_N_N_A_4	WSP	19.652	4
C_Y_N_N_A_4	RPL32	27.035	4
C_Y_N_N_A_4	RPL32	27.106	4
C_Y_N_Y_A_3	WSP	19.161	4
C_Y_N_Y_A_3	WSP	19.332	4
C_Y_N_Y_A_3	RPL32	26.596	4
C_Y_N_Y_A_3	RPL32	26.797	4
C_Y_N_N_A_1	WSP	20.135	4
C_Y_N_N_A_1	WSP	19.989	4
C_Y_N_N_A_1	RPL32	27.121	4
C_Y_N_N_A_1	RPL32	27.235	4
C_N_Y_N_B_2	WSP	19.923	4
C_N_Y_N_B_2	WSP	19.91	4
C_N_Y_N_B_2	RPL32	26.632	4
C_N_Y_N_B_2	RPL32	26.528	4
C_N_Y_Y_B_4	WSP	19.866	4
C_N_Y_Y_B_4	WSP	19.886	4
C_N_Y_N_B_3	WSP	19.977	4
C_N_Y_N_B_3	WSP	19.921	4
C_N_Y_Y_B_4	RPL32	27.423	4
C_N_Y_Y_B_4	RPL32	27.385	4
C_N_Y_N_B_3	RPL32	26.442	4
C_N_Y_N_B_3	RPL32	26.391	4
C_N_Y_N_B_1	WSP	20.358	4
C_N_Y_N_B_1	WSP	20.376	4
C_N_Y_N_B_1	RPL32	27.12	4
C_N_Y_N_B_1	RPL32	27.225	4
C_N_Y_N_B_5	WSP	19.913	4
C_N_Y_N_B_5	WSP	19.925	4
C_N_Y_N_B_5	RPL32	27.086	4
C_N_Y_N_B_5	RPL32	27.213	4
L_N_Y_Y_D_3	WSP	18.212	4
L_N_Y_Y_D_3	WSP	18.349	4
L_N_Y_N_D_5	WSP	19.744	4
L_N_Y_N_D_5	WSP	19.775	4
L_N_Y_Y_D_3	RPL32	27.888	4
L_N_Y_Y_D_3	RPL32	28.012	4
L_N_Y_N_D_5	RPL32	26.891	4
L_N_Y_N_D_5	RPL32	26.871	4
L_N_Y_N_D_1	WSP	20.385	4
L_N_Y_N_D_1	WSP	20.544	4
L_N_Y_N_D_1	RPL32	27.52	4
L_N_Y_N_D_1	RPL32	27.467	4
L_N_Y_N_D_4	WSP	20	4
L_N_Y_N_D_4	WSP	20.141	4
L_N_Y_N_D_2	WSP	20.742	4
L_N_Y_N_D_2	WSP	20.376	4
L_N_Y_N_D_4	RPL32	27.426	4
L_N_Y_N_D_4	RPL32	27.518	4
L_N_Y_N_D_2	RPL32	27.284	4
L_N_Y_N_D_2	RPL32	26.981	4
C_Y_N_N_A_2	WSP	22.5	5
C_Y_N_N_A_2	WSP	22.319	5
C_Y_N_N_A_2	RPL32	25.724	5
C_Y_N_N_A_2	RPL32	25.459	5
C_Y_N_N_A_5	WSP	22.512	5
C_Y_N_N_A_5	WSP	22.57	5
C_Y_N_Y_A_1	WSP	22.816	5
C_Y_N_Y_A_1	WSP	22.607	5
C_Y_N_N_A_4	WSP	21.745	5
C_Y_N_N_A_4	WSP	21.62	5
C_Y_N_N_A_5	RPL32	26.014	5
C_Y_N_N_A_5	RPL32	26.013	5
C_Y_N_Y_A_1	RPL32	27.238	5
C_Y_N_Y_A_1	RPL32	27.232	5
C_Y_N_N_A_4	RPL32	25.646	5
C_Y_N_N_A_4	RPL32	25.705	5
C_Y_N_N_A_3	WSP	21.938	5
C_Y_N_N_A_3	WSP	22.009	5
C_Y_N_N_A_3	RPL32	25.75	5
C_Y_N_N_A_3	RPL32	25.741	5
C_N_Y_N_B_4	WSP	22.229	5
C_N_Y_N_B_4	WSP	22.212	5
C_N_Y_N_B_4	RPL32	25.666	5
C_N_Y_N_B_4	RPL32	25.765	5
C_N_Y_N_B_2	WSP	22.399	5
C_N_Y_N_B_2	WSP	22.288	5
C_N_Y_N_B_5	WSP	22.158	5
C_N_Y_N_B_5	WSP	22.024	5
C_N_Y_N_B_2	RPL32	25.84	5
C_N_Y_N_B_2	RPL32	25.905	5
C_N_Y_N_B_5	RPL32	25.783	5
C_N_Y_N_B_5	RPL32	25.835	5
C_N_Y_Y_B_1	WSP	22.551	5
C_N_Y_Y_B_1	WSP	22.396	5
C_N_Y_N_B_3	WSP	22.22	5
C_N_Y_N_B_3	WSP	22.148	5
C_N_Y_N_B_1	RPL32	26.397	5
C_N_Y_N_B_1	RPL32	26.449	5
C_N_Y_N_B_3	RPL32	25.879	5
C_N_Y_N_B_3	RPL32	26.044	5
L_N_Y_N_D_5	WSP	20.292	5
L_N_Y_N_D_5	WSP	20.429	5
L_N_Y_N_D_5	RPL32	26.193	5
