sample,gene,cts
wMelOctoless_0_1,WSP,20.396
wMelOctoless_0_1,WSP,20.383
wMelOctoless_0_2,WSP,20.339
wMelOctoless_0_2,WSP,20.157
wMelOctoless_0_3,WSP,19.526
wMelOctoless_0_3,WSP,19.504
wMelOctoless_0_4,WSP,20.011
wMelOctoless_0_4,WSP,19.867
wMelOctoless_0_5,WSP,20.528
wMelOctoless_0_5,WSP,20.567
wMelOctoless_0_6,WSP,19.904
wMelOctoless_0_6,WSP,19.688
wMelOctoless_0_7,WSP,20.58
wMelOctoless_0_7,WSP,20.502
wMelOctoless_0_8,WSP,20.02
wMelOctoless_0_8,WSP,19.748
wMelOctoless_0_9,WSP,19.436
wMelOctoless_0_9,WSP,19.815
wMelOctoless_0_10,WSP,19.624
wMelOctoless_0_10,WSP,19.944
Cal-wMelCS-b_0_9,WSP,22.564
Cal-wMelCS-b_0_9,WSP,22.526
wMelOctoless_0_1,RPL32,26.421
wMelOctoless_0_1,RPL32,26.67
wMelOctoless_0_2,RPL32,25.797
wMelOctoless_0_2,RPL32,25.784
wMelOctoless_0_3,RPL32,25.628
wMelOctoless_0_3,RPL32,25.855
wMelOctoless_0_4,RPL32,25.961
wMelOctoless_0_4,RPL32,26.075
wMelOctoless_0_5,RPL32,26.157
wMelOctoless_0_5,RPL32,26.105
wMelOctoless_0_6,RPL32,25.882
wMelOctoless_0_6,RPL32,25.885
wMelOctoless_0_7,RPL32,26.369
wMelOctoless_0_7,RPL32,26.148
wMelOctoless_0_8,RPL32,26.18
wMelOctoless_0_8,RPL32,26.257
wMelOctoless_0_9,RPL32,25.858
wMelOctoless_0_9,RPL32,25.822
wMelOctoless_0_10,RPL32,26.479
wMelOctoless_0_10,RPL32,26.337
Cal-wMelCS-b_0_9,RPL32,26.055
Cal-wMelCS-b_0_9,RPL32,25.933
wMelCS-b_0_1,WSP,22.996
wMelCS-b_0_1,WSP,22.814
wMelCS-b_0_2,WSP,22.691
wMelCS-b_0_2,WSP,22.54
wMelCS-b_0_3,WSP,22.665
wMelCS-b_0_3,WSP,22.786
wMelCS-b_0_4,WSP,22.974
wMelCS-b_0_4,WSP,23.034
wMelCS-b_0_5,WSP,22.91
wMelCS-b_0_5,WSP,22.923
wMelCS-b_0_6,WSP,22.866
wMelCS-b_0_6,WSP,22.458
wMelCS-b_0_7,WSP,22.827
wMelCS-b_0_7,WSP,22.78
wMelCS-b_0_8,WSP,23.459
wMelCS-b_0_8,WSP,23.525
wMelCS-b_0_9,WSP,22.894
wMelCS-b_0_9,WSP,22.908
wMelCS-b_0_10,WSP,23.468
wMelCS-b_0_10,WSP,23.509
Cal-wMelCS-b_0_10,WSP,22.539
Cal-wMelCS-b_0_10,WSP,22.51
wMelCS-b_0_1,RPL32,25.93
wMelCS-b_0_1,RPL32,25.791
wMelCS-b_0_2,RPL32,25.663
wMelCS-b_0_2,RPL32,25.482
wMelCS-b_0_3,RPL32,25.67
wMelCS-b_0_3,RPL32,25.889
wMelCS-b_0_4,RPL32,26.703
wMelCS-b_0_4,RPL32,26.606
wMelCS-b_0_5,RPL32,26.089
wMelCS-b_0_5,RPL32,25.957
wMelCS-b_0_6,RPL32,25.809
wMelCS-b_0_6,RPL32,25.774
wMelCS-b_0_7,RPL32,26.335
wMelCS-b_0_7,RPL32,26.268
wMelCS-b_0_8,RPL32,26.627
wMelCS-b_0_8,RPL32,26.736
wMelCS-b_0_9,RPL32,25.93
wMelCS-b_0_9,RPL32,25.964
wMelCS-b_0_10,RPL32,26.455
wMelCS-b_0_10,RPL32,26.517
Cal-wMelCS-b_0_10,RPL32,25.969
Cal-wMelCS-b_0_10,RPL32,25.92
wMelOctoless2_0_1,WSP,19.6
wMelOctoless2_0_1,WSP,19.813
wMelOctoless2_0_2,WSP,19.817
wMelOctoless2_0_2,WSP,19.727
wMelOctoless2_0_3,WSP,19.899
wMelOctoless2_0_3,WSP,19.657
wMelOctoless2_0_4,WSP,20.071
wMelOctoless2_0_4,WSP,19.998
wMelOctoless2_0_5,WSP,19.604
wMelOctoless2_0_5,WSP,19.67
wMelOctoless2_0_6,WSP,20.352
wMelOctoless2_0_6,WSP,19.91
wMelOctoless2_0_7,WSP,20.066
wMelOctoless2_0_7,WSP,19.983
wMelOctoless2_0_8,WSP,19.958
wMelOctoless2_0_8,WSP,19.941
wMelOctoless2_0_9,WSP,19.867
wMelOctoless2_0_9,WSP,19.702
wMelOctoless2_0_10,WSP,19.701
wMelOctoless2_0_10,WSP,19.861
Cal-wMelCS-b_0_11,WSP,22.517
Cal-wMelCS-b_0_11,WSP,22.537
wMelOctoless2_0_1,RPL32,26.033
wMelOctoless2_0_1,RPL32,25.776
wMelOctoless2_0_2,RPL32,25.848
wMelOctoless2_0_2,RPL32,25.7
wMelOctoless2_0_3,RPL32,25.575
wMelOctoless2_0_3,RPL32,25.612
wMelOctoless2_0_4,RPL32,25.922
wMelOctoless2_0_4,RPL32,25.907
wMelOctoless2_0_5,RPL32,25.404
wMelOctoless2_0_5,RPL32,25.734
wMelOctoless2_0_6,RPL32,25.627
wMelOctoless2_0_6,RPL32,25.801
wMelOctoless2_0_7,RPL32,25.553
wMelOctoless2_0_7,RPL32,25.567
wMelOctoless2_0_8,RPL32,25.602
wMelOctoless2_0_8,RPL32,25.512
wMelOctoless2_0_9,RPL32,25.813
wMelOctoless2_0_9,RPL32,25.821
wMelOctoless2_0_10,RPL32,25.883
wMelOctoless2_0_10,RPL32,25.999
Cal-wMelCS-b_0_11,RPL32,25.787
Cal-wMelCS-b_0_11,RPL32,25.785
wMelOctoless_7_1,WSP,18.11
wMelOctoless_7_1,WSP,17.706
wMelOctoless_7_2,WSP,17.275
wMelOctoless_7_2,WSP,17.207
wMelOctoless_7_3,WSP,17.353
wMelOctoless_7_3,WSP,17.636
wMelOctoless_7_4,WSP,17.803
wMelOctoless_7_4,WSP,17.739
wMelOctoless_7_5,WSP,17.847
wMelOctoless_7_5,WSP,17.997
wMelOctoless_7_6,WSP,17.784
wMelOctoless_7_6,WSP,17.646
wMelOctoless_7_7,WSP,17.759
wMelOctoless_7_7,WSP,17.896
wMelOctoless_7_8,WSP,17.678
wMelOctoless_7_8,WSP,17.832
wMelOctoless_7_9,WSP,18.23
wMelOctoless_7_9,WSP,17.981
wMelOctoless_7_10,WSP,18.34
wMelOctoless_7_10,WSP,17.946
Cal-wMelCS-b_0_12,WSP,22.236
Cal-wMelCS-b_0_12,WSP,22.34
wMelOctoless_7_1,RPL32,25.292
wMelOctoless_7_1,RPL32,25.347
wMelOctoless_7_2,RPL32,25.253
wMelOctoless_7_2,RPL32,25.204
wMelOctoless_7_3,RPL32,25.177
wMelOctoless_7_3,RPL32,25.4
wMelOctoless_7_4,RPL32,25.448
wMelOctoless_7_4,RPL32,25.494
wMelOctoless_7_5,RPL32,24.939
wMelOctoless_7_5,RPL32,25.016
wMelOctoless_7_6,RPL32,25.372
wMelOctoless_7_6,RPL32,25.447
wMelOctoless_7_7,RPL32,25.345
wMelOctoless_7_7,RPL32,25.544
wMelOctoless_7_8,RPL32,25.088
