sample,gene,cts,fly_generations
C_N_Y_N_B_3,RPL32,26.259,3
C_N_Y_N_B_3,RPL32,26.147,3
C_N_Y_N_B_1,WSP,22.861,3
C_N_Y_N_B_1,WSP,22.867,3
C_N_Y_N_B_1,RPL32,26.135,3
C_N_Y_N_B_1,RPL32,26.127,3
C_N_Y_N_B_4,WSP,22.976,3
C_N_Y_N_B_4,WSP,23.042,3
C_N_Y_N_B_4,RPL32,26.301,3
C_N_Y_N_B_4,RPL32,26.430,3
L_N_Y_N_A_5,WSP,19.989,3
L_N_Y_N_A_5,WSP,20.013,3
L_N_Y_N_A_5,RPL32,26.328,3
L_N_Y_N_A_5,RPL32,26.287,3
L_N_Y_N_A_3,WSP,18.910,3
L_N_Y_N_A_3,WSP,18.962,3
L_N_Y_N_A_1,WSP,19.036,3
L_N_Y_N_A_1,WSP,18.801,3
L_N_Y_N_A_3,RPL32,26.264,3
L_N_Y_N_A_3,RPL32,26.111,3
L_N_Y_N_A_1,RPL32,26.119,3
L_N_Y_N_A_1,RPL32,26.471,3
L_N_Y_N_A_4,WSP,19.319,3
L_N_Y_N_A_4,WSP,19.222,3
L_N_Y_N_A_4,RPL32,26.958,3
L_N_Y_N_A_4,RPL32,26.605,3
L_N_Y_N_A_2,WSP,19.387,3
L_N_Y_N_A_2,WSP,19.212,3
L_N_Y_N_A_2,RPL32,26.626,3
L_N_Y_N_A_2,RPL32,26.583,3
