gene,cts,sample,plate,experimental_replicate
RPL32,26.834,POP_A_3,plate_2,1
RPL32,28.305,POP2_B_3,plate_2,1
RPL32,26.532,POP2_A_2,plate_2,1
RPL32,26.508,POP2_A_2,plate_2,1
RPL32,26.992,POP_A_8,plate_2,1
RPL32,27.128,POP_A_8,plate_2,1
RPL32,26.983,CSB-REF_A_3,plate_2,1
RPL32,26.995,CSB-REF_A_3,plate_2,1
RPL32,26.861,POP_A_3,plate_2,1
RPL32,27.643,POP2_C_2,plate_2,1
RPL32,27.557,POP2_C_2,plate_2,1
RPL32,27.448,POP_C_10,plate_2,1
RPL32,27.485,POP_C_10,plate_2,1
RPL32,27.238,CSB_D_4,plate_2,1
RPL32,27.273,CSB_D_4,plate_2,1
RPL32,28.202,POP2_B_3,plate_2,1
WSP,21.707,POP_B_6,plate_2,1
WSP,21.419,POP2_B_2,plate_2,1
WSP,18.732,POP_C_8,plate_2,1
WSP,18.763,POP_C_8,plate_2,1
WSP,21.618,POP_B_1,plate_2,1
WSP,21.75,POP_B_1,plate_2,1
WSP,25.182,CSB-REF_A_4,plate_2,1
WSP,25.202,CSB-REF_A_4,plate_2,1
WSP,21.76,POP_B_6,plate_2,1
WSP,24.689,POP2_A_8,plate_2,1
WSP,24.62,POP2_A_8,plate_2,1
WSP,23.782,CSB_D_10,plate_2,1
WSP,23.753,CSB_D_10,plate_2,1
WSP,18.243,POP2_C_3,plate_2,1
WSP,18.239,POP2_C_3,plate_2,1
WSP,21.425,POP2_B_2,plate_2,1
RPL32,27.523,POP_B_6,plate_2,1
RPL32,27.981,POP2_B_2,plate_2,1
RPL32,26.845,POP_C_8,plate_2,1
RPL32,26.977,POP_C_8,plate_2,1
RPL32,27.495,POP_B_1,plate_2,1
RPL32,27.222,POP_B_1,plate_2,1
RPL32,26.847,CSB-REF_A_4,plate_2,1
RPL32,26.915,CSB-REF_A_4,plate_2,1
RPL32,27.501,POP_B_6,plate_2,1
RPL32,26.916,POP2_A_8,plate_2,1
RPL32,26.836,POP2_A_8,plate_2,1
RPL32,27.689,CSB_D_10,plate_2,1
RPL32,27.572,CSB_D_10,plate_2,1
RPL32,27.173,POP2_C_3,plate_2,1
RPL32,27.45,POP2_C_3,plate_2,1
RPL32,28.108,POP2_B_2,plate_2,1
WSP,22.891,CSB_D_8,plate_2,1
WSP,22.228,POP2_B_6,plate_2,1
WSP,24.052,POP2_A_1,plate_2,1
WSP,24.215,POP2_A_1,plate_2,1
WSP,23.661,CSB_B_10,plate_2,1
WSP,23.617,CSB_B_10,plate_2,1
WSP,25.894,CSB-REF_A_5,plate_2,1
WSP,26.237,CSB-REF_A_5,plate_2,1
WSP,22.974,CSB_D_8,plate_2,1
WSP,24.465,POP2_A_3,plate_2,1
WSP,24.305,POP2_A_3,plate_2,1
WSP,23.429,CSB_C_8,plate_2,1
WSP,23.425,CSB_C_8,plate_2,1
WSP,22.183,POP_A_4,plate_2,1
WSP,22.146,POP_A_4,plate_2,1
WSP,22.106,POP2_B_6,plate_2,1
RPL32,27.392,CSB_D_8,plate_2,1
RPL32,27.899,POP2_B_6,plate_2,1
RPL32,26.367,POP2_A_1,plate_2,1
RPL32,26.537,POP2_A_1,plate_2,1
RPL32,27.46,CSB_B_10,plate_2,1
RPL32,27.604,CSB_B_10,plate_2,1
