sample,gene,cts,fly_generation
T_3.125_A_2,RPL32,26.423,3
T_3.125_A_2,RPL32,26.72,3
T_3.125_A_3,WSP,21.357,3
T_3.125_A_3,WSP,21.238,3
T_3.125_A_3,RPL32,26.165,3
T_3.125_A_3,RPL32,26.136,3
T_3.125_A_4,WSP,20.859,3
T_3.125_A_4,WSP,20.74,3
T_3.125_A_4,RPL32,26.406,3
T_3.125_A_4,RPL32,26.327,3
T_3.125_B_1,WSP,21.389,3
T_3.125_B_1,WSP,21.514,3
T_3.125_B_1,RPL32,26.897,3
T_3.125_B_1,RPL32,26.894,3
T_3.125_B_2,WSP,21.369,3
T_3.125_B_2,WSP,21.224,3
T_3.125_B_2,RPL32,26.699,3
T_3.125_B_2,RPL32,26.722,3
T_3.125_B_3,WSP,21.844,3
T_3.125_B_3,WSP,21.884,3
T_3.125_B_3,RPL32,26.235,3
T_3.125_B_3,RPL32,26.331,3
T_3.125_B_4,WSP,20.869,3
T_3.125_B_4,WSP,20.688,3
T_3.125_B_4,RPL32,26.366,3
T_3.125_B_4,RPL32,26.313,3
T_3.125_C_1,WSP,31.406,3
T_3.125_C_1,WSP,31.695,3
T_3.125_C_1,RPL32,26.157,3
T_3.125_C_1,RPL32,26.26,3
T_3.125_C_2,WSP,21.496,3
T_3.125_C_2,WSP,21.412,3
T_3.125_C_2,RPL32,26.905,3
T_3.125_C_2,RPL32,26.585,3
T_3.125_C_3,WSP,20.649,3
T_3.125_C_3,WSP,20.758,3
T_3.125_C_3,RPL32,25.347,3
T_3.125_C_3,RPL32,26.406,3
T_6.25_A_1,WSP,21.392,3
T_6.25_A_1,WSP,21.507,3
T_6.25_A_1,RPL32,26.951,3
T_6.25_A_1,RPL32,26.829,3
T_6.25_A_2,WSP,21.773,3
T_6.25_A_2,WSP,21.878,3
T_6.25_A_2,RPL32,26.271,3
T_6.25_A_2,RPL32,26.219,3
T_6.25_B_1,WSP,21.526,3
T_6.25_B_1,WSP,21.683,3
T_6.25_B_1,RPL32,26.514,3
T_6.25_B_1,RPL32,26.621,3
T_6.25_B_2,WSP,32.29,3
T_6.25_B_2,WSP,31.953,3
T_6.25_B_2,RPL32,26.437,3
T_6.25_B_2,RPL32,26.457,3
T_6.25_B_3,WSP,20.519,3
T_6.25_B_3,WSP,20.821,3
T_6.25_B_3,RPL32,26.513,3
T_6.25_B_3,RPL32,26.612,3
T_6.25_B_4,WSP,23.132,3
T_6.25_B_4,WSP,23.101,3
T_6.25_B_4,RPL32,26.429,3
T_6.25_B_4,RPL32,26.184,3
T_6.25_C_1,WSP,31.294,3
T_6.25_C_1,WSP,31.529,3
T_6.25_C_1,RPL32,26.152,3
T_6.25_C_1,RPL32,26.096,3
T_6.25_C_2,WSP,31.467,3
T_6.25_C_2,WSP,32.974,3
T_6.25_C_2,RPL32,25.997,3
T_6.25_C_2,RPL32,26.094,3
T_6.25_C_3,WSP,32.723,3
T_6.25_C_3,WSP,31.656,3
T_6.25_C_3,RPL32,26.044,3
T_6.25_C_3,RPL32,26.075,3
T_6.25_C_4,WSP,32.625,3
T_6.25_C_4,WSP,31.709,3
T_6.25_C_4,RPL32,25.531,3
T_6.25_C_4,RPL32,25.569,3
T_12.5_A_1,WSP,34.088,3
T_12.5_A_1,WSP,32.868,3
T_12.5_A_1,RPL32,28.433,3
T_12.5_A_1,RPL32,28.067,3
T_12.5_A_2,WSP,21.113,3
T_12.5_A_2,WSP,21.133,3
T_12.5_A_2,RPL32,26.446,3
T_12.5_A_2,RPL32,26.56,3
T_12.5_A_3,WSP,32.254,3
T_12.5_A_3,WSP,31.979,3
T_12.5_A_3,RPL32,26.821,3
T_12.5_A_3,RPL32,26.878,3
T_12.5_A_4,WSP,32.818,3
T_12.5_A_4,WSP,32.926,3
T_12.5_A_4,RPL32,26.53,3
T_12.5_A_4,RPL32,26.627,3
T_12.5_B_1,WSP,32.795,3
T_12.5_B_1,WSP,32.695,3
T_12.5_B_1,RPL32,27.685,3
T_12.5_B_1,RPL32,27.704,3
T_12.5_B_2,WSP,32.401,3
T_12.5_B_2,WSP,32.366,3
T_12.5_B_2,RPL32,26.118,3
T_12.5_B_2,RPL32,26.13,3
T_12.5_B_3,WSP,30.643,3
T_12.5_B_3,WSP,31.605,3
T_12.5_B_3,RPL32,26.735,3
T_12.5_B_3,RPL32,26.609,3
T_12.5_B_4,WSP,31.128,3
T_12.5_B_4,WSP,31.575,3
T_12.5_B_4,RPL32,26.901,3
T_12.5_B_4,RPL32,26.763,3
T_12.5_C_1,WSP,31.205,3
T_12.5_C_1,WSP,31.133,3
T_12.5_C_1,RPL32,26.344,3
T_12.5_C_1,RPL32,26.752,3
T_12.5_C_2,WSP,31.713,3
T_12.5_C_2,WSP,30.974,3
T_12.5_C_2,RPL32,25.93,3
T_12.5_C_2,RPL32,26.16,3
T_12.5_C_3,WSP,33.524,3
T_12.5_C_3,WSP,34.14,3
T_12.5_C_3,RPL32,27.406,3
T_12.5_C_3,RPL32,27.238,3
T_12.5_C_4,WSP,31.324,3
T_12.5_C_4,WSP,31.204,3
T_12.5_C_4,RPL32,26.018,3
T_12.5_C_4,RPL32,26.157,3
T_25_A_1,WSP,32.17,3
T_25_A_1,WSP,31.676,3
T_25_A_1,RPL32,26.256,3
T_25_A_1,RPL32,26.224,3
T_25_A_2,WSP,32.319,3
T_25_A_2,WSP,31.288,3
T_25_A_2,RPL32,26.017,3
T_25_A_2,RPL32,26.002,3
T_25_A_3,WSP,32.334,3
T_25_A_3,WSP,32.083,3
T_25_A_3,RPL32,26.695,3
T_25_A_3,RPL32,26.358,3
T_25_A_4,WSP,31.427,3
T_25_A_4,WSP,31.719,3
T_25_A_4,RPL32,26.221,3
T_25_A_4,RPL32,26.348,3
T_25_B_1,WSP,31.193,3
T_25_B_1,WSP,33.39,3
T_25_B_1,RPL32,26.168,3
T_25_B_1,RPL32,26.109,3
T_25_B_2,WSP,31.414,3
T_25_B_2,WSP,31.555,3
T_25_B_2,RPL32,26.011,3
T_25_B_2,RPL32,25.913,3
T_25_B_3,WSP,32.249,3
T_25_B_3,WSP,31.605,3
T_25_B_3,RPL32,26.428,3
T_25_B_3,RPL32,26.534,3
T_25_B_4,WSP,33.808,3
T_25_B_4,WSP,34.079,3
T_25_B_4,RPL32,26.533,3
T_25_B_4,RPL32,26.455,3
T_25_C_1,WSP,31.179,3
T_25_C_1,WSP,31.632,3
T_25_C_1,RPL32,26.361,3
T_25_C_1,RPL32,26.385,3
T_25_C_2,WSP,32.299,3
T_25_C_2,WSP,32.215,3
T_25_C_2,RPL32,26.731,3
T_25_C_2,RPL32,26.59,3
T_25_C_3,WSP,33.356,3
T_25_C_3,WSP,34.4,3
T_25_C_3,RPL32,26.37,3
T_25_C_3,RPL32,26.328,3
T_25_C_4,WSP,32.179,3
T_25_C_4,WSP,32.136,3
T_25_C_4,RPL32,26.62,3
T_25_C_4,RPL32,26.546,3
T_50_A_1,WSP,32.348,3
T_50_A_1,WSP,32.922,3
T_50_A_1,RPL32,26.435,3
T_50_A_1,RPL32,26.755,3
T_50_A_2,WSP,31.593,3
T_50_A_2,WSP,32.145,3
T_50_A_2,RPL32,26.526,3
T_50_A_2,RPL32,26.567,3
T_50_A_3,WSP,31.596,3
T_50_A_3,WSP,31.737,3
T_50_A_3,RPL32,26.242,3
T_50_A_3,RPL32,26.435,3
T_50_A_4,WSP,31.887,3
T_50_A_4,WSP,30.943,3
T_50_A_4,RPL32,26.213,3
T_50_A_4,RPL32,26.261,3
T_50_B_1,WSP,32.51,3
T_50_B_1,WSP,32.747,3
T_50_B_1,RPL32,26.13,3
T_50_B_1,RPL32,26.183,3
T_50_B_2,WSP,32.238,3
T_50_B_2,WSP,31.797,3
T_50_B_2,RPL32,26.552,3
T_50_B_2,RPL32,26.585,3
T_50_B_3,WSP,31.764,3
T_50_B_3,WSP,32.426,3
T_50_B_3,RPL32,26.424,3
T_50_B_3,RPL32,26.429,3
T_50_B_4,WSP,33.143,3
T_50_B_4,WSP,31.985,3
T_50_B_4,RPL32,26.491,3
T_50_B_4,RPL32,26.408,3
T_50_C_1,WSP,31.405,3
T_50_C_1,WSP,31.333,3
T_50_C_1,RPL32,26.594,3
T_50_C_1,RPL32,26.57,3
T_1.5625_B_3,WSP,21.282,3
T_1.5625_B_3,WSP,21.249,3
T_1.5625_B_3,RPL32,26.329,3
T_1.5625_B_3,RPL32,26.36,3
T_3.125_C_4,WSP,20.726,3
T_3.125_C_4,WSP,20.642,3
T_3.125_C_4,RPL32,26.347,3
T_3.125_C_4,RPL32,26.388,3
T_50_C_3,WSP,30.888,3
T_50_C_3,WSP,32.983,3
T_50_C_3,RPL32,26.405,3
T_50_C_3,RPL32,26.433,3
T_50_C_4,WSP,31.617,3
T_50_C_4,WSP,32.08,3
T_50_C_4,RPL32,26.121,3
T_50_C_4,RPL32,26.136,3
T_0_A_1,WSP,21.116,4
T_0_A_1,WSP,21.119,4
T_0_A_1,RPL32,25.633,4
T_0_A_1,RPL32,25.693,4
T_0_A_2,WSP,20.619,4
T_0_A_2,WSP,20.557,4
T_0_A_2,RPL32,25.645,4
T_0_A_2,RPL32,25.989,4
T_0_A_3,WSP,20.899,4
T_0_A_3,WSP,21.086,4
T_0_A_3,RPL32,25.687,4
T_0_A_3,RPL32,25.536,4
T_0_A_4,WSP,20.61,4
T_0_A_4,WSP,20.547,4
T_0_A_4,RPL32,25.535,4
T_0_A_4,RPL32,25.527,4
T_0_B_1,WSP,20.735,4
T_0_B_1,WSP,20.789,4
T_0_B_1,RPL32,25.755,4
T_0_B_1,RPL32,25.738,4
T_0_B_2,WSP,21.227,4
T_0_B_2,WSP,21.099,4
T_0_B_2,RPL32,25.928,4
T_0_B_2,RPL32,25.915,4
T_0_B_3,WSP,21.354,4
T_0_B_3,WSP,21.143,4
T_0_B_3,RPL32,25.784,4
T_0_B_3,RPL32,25.576,4
T_0_B_4,WSP,20.969,4
T_0_B_4,WSP,21.072,4
T_0_B_4,RPL32,26.123,4
T_0_B_4,RPL32,25.935,4
T_0_C_1,WSP,21.67,4
T_0_C_1,WSP,21.561,4
T_0_C_1,RPL32,25.992,4
T_0_C_1,RPL32,25.888,4
T_0_C_2,WSP,21.425,4
T_0_C_2,WSP,21.659,4
T_0_C_2,RPL32,25.734,4
T_0_C_2,RPL32,25.625,4
T_0_C_3,WSP,21.676,4
T_0_C_3,WSP,21.554,4
T_0_C_3,RPL32,26.044,4
T_0_C_3,RPL32,26.158,4
T_0_C_4,WSP,20.822,4
T_0_C_4,WSP,20.887,4
T_0_C_4,RPL32,25.377,4
T_0_C_4,RPL32,25.31,4
T_1.5625_A_1,WSP,21.309,4
T_1.5625_A_1,WSP,21.215,4
T_1.5625_A_1,RPL32,25.895,4
T_1.5625_A_1,RPL32,25.473,4
T_1.5625_A_2,WSP,21.726,4
T_1.5625_A_2,WSP,21.805,4
T_1.5625_A_2,RPL32,27.333,4
T_1.5625_A_2,RPL32,27.022,4
T_1.5625_A_3,WSP,21.432,4
T_1.5625_A_3,WSP,21.511,4
T_1.5625_A_3,RPL32,25.677,4
T_1.5625_A_3,RPL32,25.864,4
T_1.5625_A_4,WSP,21.575,4
T_1.5625_A_4,WSP,21.481,4
T_1.5625_A_4,RPL32,27.315,4
T_1.5625_A_4,RPL32,27.288,4
T_1.5625_B_1,WSP,20.902,4
T_1.5625_B_1,WSP,20.865,4
T_1.5625_B_1,RPL32,25.467,4
T_1.5625_B_1,RPL32,25.5,4
T_1.5625_B_2,WSP,21.708,4
T_1.5625_B_2,WSP,21.781,4
T_1.5625_B_2,RPL32,27.167,4
T_1.5625_B_2,RPL32,27.043,4
T_1.5625_B_4,WSP,21.34,4
T_1.5625_B_4,WSP,21.211,4
T_1.5625_B_4,RPL32,26.061,4
T_1.5625_B_4,RPL32,25.888,4
T_1.5625_C_1,WSP,21.347,4
T_1.5625_C_1,WSP,21.142,4
T_1.5625_C_1,RPL32,25.893,4
T_1.5625_C_1,RPL32,25.865,4
T_1.5625_C_2,WSP,21.705,4
T_1.5625_C_2,WSP,21.647,4
T_1.5625_C_2,RPL32,26.942,4
T_1.5625_C_2,RPL32,27.009,4
T_1.5625_C_3,WSP,21.482,4
T_1.5625_C_3,WSP,21.565,4
T_1.5625_C_3,RPL32,25.78,4
T_1.5625_C_3,RPL32,25.732,4
T_1.5625_C_4,WSP,20.907,4
T_1.5625_C_4,WSP,20.977,4
T_1.5625_C_4,RPL32,25.597,4
T_1.5625_C_4,RPL32,25.442,4
T_3.125_A_2,WSP,20.615,4
T_3.125_A_2,WSP,20.663,4
T_3.125_A_2,RPL32,25.923,4
T_3.125_A_2,RPL32,25.737,4
T_3.125_A_2,WSP,21.219,4
T_3.125_A_2,WSP,21.137,4
T_3.125_A_2,RPL32,25.82,4
T_3.125_A_2,RPL32,25.604,4
T_3.125_A_3,WSP,20.987,4
T_3.125_A_3,WSP,21.145,4
T_3.125_A_3,RPL32,25.913,4
T_3.125_A_3,RPL32,25.864,4
T_3.125_A_4,WSP,21.113,4
T_3.125_A_4,WSP,21.2,4
T_3.125_A_4,RPL32,26.425,4
T_3.125_A_4,RPL32,26.508,4
T_3.125_B_1,WSP,21.746,4
T_3.125_B_1,WSP,21.797,4
T_3.125_B_1,RPL32,27.224,4
T_3.125_B_1,RPL32,27.281,4
T_3.125_B_2,WSP,21.405,4
T_3.125_B_2,WSP,21.348,4
T_3.125_B_2,RPL32,26.295,4
T_3.125_B_2,RPL32,26.355,4
T_3.125_B_3,WSP,20.815,4
T_3.125_B_3,WSP,20.801,4
T_3.125_B_3,RPL32,25.629,4
T_3.125_B_3,RPL32,25.612,4
T_3.125_B_4,WSP,20.798,4
T_3.125_B_4,WSP,20.893,4
T_3.125_B_4,RPL32,25.774,4
T_3.125_B_4,RPL32,25.671,4
T_3.125_C_1,WSP,21.344,4
T_3.125_C_1,WSP,21.532,4
T_3.125_C_1,RPL32,25.856,4
T_3.125_C_1,RPL32,25.789,4
T_3.125_C_2,WSP,21.54,4
T_3.125_C_2,WSP,21.657,4
T_3.125_C_2,RPL32,26.807,4
T_3.125_C_2,RPL32,26.821,4
T_3.125_C_3,WSP,21.143,4
T_3.125_C_3,WSP,21.212,4
T_3.125_C_3,RPL32,26.031,4
T_3.125_C_3,RPL32,25.989,4
T_6.25_A_1,WSP,21.087,4
T_6.25_A_1,WSP,21.37,4
T_6.25_A_1,RPL32,25.562,4
T_6.25_A_1,RPL32,25.384,4
T_6.25_B_1,WSP,20.86,4
T_6.25_B_1,WSP,20.917,4
T_6.25_B_1,RPL32,25.946,4
T_6.25_B_1,RPL32,25.863,4
T_6.25_B_2,WSP,21.003,4
T_6.25_B_2,WSP,20.769,4
T_6.25_B_2,RPL32,25.918,4
T_6.25_B_2,RPL32,25.659,4
T_6.25_B_2,WSP,21.166,4
T_6.25_B_2,WSP,21.008,4
T_6.25_B_2,RPL32,25.373,4
T_6.25_B_2,RPL32,25.526,4
T_6.25_B_3,WSP,20.786,4
T_6.25_B_3,WSP,20.805,4
T_6.25_B_3,RPL32,25.953,4
T_6.25_B_3,RPL32,25.983,4
T_6.25_B_4,WSP,22.489,4
T_6.25_B_4,WSP,22.296,4
T_6.25_B_4,RPL32,26.641,4
T_6.25_B_4,RPL32,26.472,4
T_6.25_C_1,WSP,33.071,4
T_6.25_C_1,WSP,32.501,4
T_6.25_C_1,RPL32,25.79,4
T_6.25_C_1,RPL32,25.585,4
T_6.25_C_2,WSP,32.713,4
T_6.25_C_2,WSP,32.565,4
T_6.25_C_2,RPL32,26.126,4
T_6.25_C_2,RPL32,26.204,4
T_6.25_C_3,WSP,33.708,4
T_6.25_C_3,WSP,33.159,4
T_6.25_C_3,RPL32,26.335,4
T_6.25_C_3,RPL32,26.431,4
T_6.25_C_3,WSP,20.827,4
T_6.25_C_3,WSP,20.926,4
T_6.25_C_3,RPL32,26.147,4
T_6.25_C_3,RPL32,25.948,4
T_6.25_C_4,WSP,32.747,4
T_6.25_C_4,WSP,32.631,4
T_6.25_C_4,RPL32,25.75,4
T_6.25_C_4,RPL32,25.67,4
T_6.25_C_4,WSP,20.88,4
T_6.25_C_4,WSP,21.158,4
T_6.25_C_4,RPL32,25.56,4
T_6.25_C_4,RPL32,25.593,4
T_12.5_A_1,WSP,21.121,4
T_12.5_A_1,WSP,20.935,4
T_12.5_A_1,RPL32,25.762,4
T_12.5_A_1,RPL32,25.834,4
T_12.5_A_2,WSP,21.125,4
T_12.5_A_2,WSP,21.002,4
T_12.5_A_2,RPL32,25.773,4
T_12.5_A_2,RPL32,25.709,4
T_12.5_A_3,WSP,20.956,4
T_12.5_A_3,WSP,20.96,4
T_12.5_A_3,RPL32,25.829,4
T_12.5_A_3,RPL32,25.77,4
T_12.5_A_4,WSP,20.62,4
T_12.5_A_4,WSP,20.587,4
T_12.5_A_4,RPL32,25.518,4
T_12.5_A_4,RPL32,25.431,4
T_12.5_B_1,WSP,32.213,4
T_12.5_B_1,WSP,32.431,4
T_12.5_B_1,RPL32,26.054,4
T_12.5_B_1,RPL32,26.137,4
T_12.5_B_2,WSP,32.469,4
T_12.5_B_2,WSP,31.634,4
T_12.5_B_2,RPL32,25.616,4
T_12.5_B_2,RPL32,25.688,4
T_12.5_B_3,WSP,32.632,4
T_12.5_B_3,WSP,31.528,4
T_12.5_B_3,RPL32,26.107,4
T_12.5_B_3,RPL32,26.091,4
T_12.5_B_4,WSP,31.952,4
T_12.5_B_4,WSP,32.586,4
T_12.5_B_4,RPL32,25.726,4
T_12.5_B_4,RPL32,25.62,4
T_12.5_C_1,WSP,31.496,4
T_12.5_C_1,WSP,32.285,4
T_12.5_C_1,RPL32,26.657,4
T_12.5_C_1,RPL32,26.501,4
T_12.5_C_2,WSP,32.078,4
T_12.5_C_2,WSP,32.277,4
T_12.5_C_2,RPL32,26.237,4
T_12.5_C_2,RPL32,26.209,4
T_12.5_C_3,WSP,32.812,4
T_12.5_C_3,WSP,32.367,4
T_12.5_C_3,RPL32,25.99,4
T_12.5_C_3,RPL32,25.788,4
T_12.5_C_4,WSP,32.368,4
T_12.5_C_4,WSP,31.998,4
T_12.5_C_4,RPL32,25.797,4
T_12.5_C_4,RPL32,25.806,4
T_25_A_1,WSP,31.47,4
T_25_A_1,WSP,31.183,4
T_25_A_1,RPL32,25.841,4
T_25_A_1,RPL32,25.92,4
T_25_A_2,WSP,32.39,4
T_25_A_2,WSP,33.695,4
T_25_A_2,RPL32,27.29,4
T_25_A_2,RPL32,27.19,4
T_25_A_3,WSP,31.861,4
T_25_A_3,WSP,31.585,4
T_25_A_3,RPL32,26.411,4
T_25_A_3,RPL32,26.413,4
T_25_A_4,WSP,32.16,4
T_25_A_4,WSP,32.133,4
T_25_A_4,RPL32,25.966,4
T_25_A_4,RPL32,26.062,4
T_25_B_1,WSP,33.191,4
T_25_B_1,WSP,32.273,4
T_25_B_1,RPL32,25.856,4
T_25_B_1,RPL32,25.903,4
T_25_B_2,WSP,33.12,4
T_25_B_2,WSP,32.77,4
T_25_B_2,RPL32,26.04,4
T_25_B_2,RPL32,26.081,4
T_25_B_3,WSP,31.669,4
T_25_B_3,WSP,31.373,4
T_25_B_3,RPL32,25.584,4
T_25_B_3,RPL32,25.496,4
T_25_B_4,WSP,32.344,4
T_25_B_4,WSP,33.419,4
T_25_B_4,RPL32,27.008,4
T_25_B_4,RPL32,27.015,4
T_25_C_1,WSP,31.796,4
T_25_C_1,WSP,32.615,4
T_25_C_1,RPL32,25.556,4
T_25_C_1,RPL32,25.529,4
T_25_C_2,WSP,32.43,4
T_25_C_2,WSP,32.336,4
T_25_C_2,RPL32,25.656,4
T_25_C_2,RPL32,25.909,4
T_25_C_3,WSP,32.471,4
T_25_C_3,WSP,30.501,4
T_25_C_3,RPL32,25.627,4
T_25_C_3,RPL32,25.681,4
T_25_C_4,WSP,31.49,4
T_25_C_4,WSP,31.097,4
T_25_C_4,RPL32,25.569,4
T_25_C_4,RPL32,25.641,4
T_50_A_1,WSP,32.215,4
T_50_A_1,WSP,32.567,4
T_50_A_1,RPL32,25.823,4
T_50_A_1,RPL32,25.983,4
T_50_A_2,WSP,32.524,4
T_50_A_2,WSP,33.104,4
T_50_A_2,RPL32,25.574,4
T_50_A_2,RPL32,25.656,4
T_50_A_3,WSP,32.835,4
T_50_A_3,WSP,33.318,4
T_50_A_3,RPL32,25.752,4
T_50_A_3,RPL32,25.852,4
T_50_A_4,WSP,32.981,4
T_50_A_4,WSP,32.776,4
T_50_A_4,RPL32,27.127,4
T_50_A_4,RPL32,26.993,4
T_50_B_1,WSP,34.105,4
T_50_B_1,WSP,34.539,4
T_50_B_1,RPL32,27.553,4
T_50_B_1,RPL32,27.643,4
T_50_B_2,WSP,32.997,4
T_50_B_2,WSP,31.744,4
T_50_B_2,RPL32,25.448,4
T_50_B_2,RPL32,25.523,4
T_50_B_3,WSP,29.657,4
T_50_B_3,WSP,32.54,4
T_50_B_3,RPL32,25.957,4
T_50_B_3,RPL32,25.816,4
T_50_B_4,WSP,31.814,4
T_50_B_4,WSP,31.741,4
T_50_B_4,RPL32,25.94,4
T_50_B_4,RPL32,25.89,4
T_50_C_1,WSP,31.548,4
T_50_C_1,WSP,31.502,4
T_50_C_1,RPL32,25.252,4
T_50_C_1,RPL32,25.17,4
T_1.5625_B_3,WSP,21.422,4
T_1.5625_B_3,WSP,21.728,4
T_1.5625_B_3,RPL32,26.654,4
T_1.5625_B_3,RPL32,26.492,4
T_3.125_C_4,WSP,21.945,4
T_3.125_C_4,WSP,22.099,4
T_3.125_C_4,RPL32,27.04,4
T_3.125_C_4,RPL32,27.016,4
T_50_C_3,WSP,32.632,4
T_50_C_3,WSP,32.186,4
T_50_C_3,RPL32,25.772,4
T_50_C_3,RPL32,25.776,4
T_50_C_4,WSP,33.105,4
T_50_C_4,WSP,32.515,4
T_50_C_4,RPL32,27.314,4
T_50_C_4,RPL32,26.988,4
T_50_C_2,WSP,31.533,4
T_50_C_2,WSP,31.488,4
T_50_C_2,RPL32,25.694,4
T_50_C_2,RPL32,25.574,4
