day,unique_id,status,experimental_replicate,replicate,cross
12,POP2L_CSB_2_2,1,2,2,POP2L X CSB
12,POP2L_CSB_2_2,1,2,2,POP2L X CSB
13,POP2L_CSB_2_2,1,2,2,POP2L X CSB
14,POP2L_CSB_2_2,1,2,2,POP2L X CSB
14,POP2L_CSB_2_2,1,2,2,POP2L X CSB
11,POP2L_CSB_2_3,1,2,3,POP2L X CSB
11,POP2L_CSB_2_3,1,2,3,POP2L X CSB
11,POP2L_CSB_2_3,1,2,3,POP2L X CSB
11,POP2L_CSB_2_3,1,2,3,POP2L X CSB
11,POP2L_CSB_2_3,1,2,3,POP2L X CSB
12,POP2L_CSB_2_3,1,2,3,POP2L X CSB
12,POP2L_CSB_2_3,1,2,3,POP2L X CSB
12,POP2L_CSB_2_3,1,2,3,POP2L X CSB
12,POP2L_CSB_2_3,1,2,3,POP2L X CSB
12,POP2L_CSB_2_3,1,2,3,POP2L X CSB
11,POP2L_CSB_2_4,1,2,4,POP2L X CSB
11,POP2L_CSB_2_4,1,2,4,POP2L X CSB
12,POP2L_CSB_2_4,1,2,4,POP2L X CSB
12,POP2L_CSB_2_4,1,2,4,POP2L X CSB
12,POP2L_CSB_2_4,1,2,4,POP2L X CSB
12,POP2L_CSB_2_4,1,2,4,POP2L X CSB
12,POP2L_CSB_2_4,1,2,4,POP2L X CSB
12,POP2L_CSB_2_4,1,2,4,POP2L X CSB
12,POP2L_CSB_2_4,1,2,4,POP2L X CSB
14,POP2L_CSB_2_4,1,2,4,POP2L X CSB
11,POP2L_CSB_2_5,1,2,5,POP2L X CSB
12,POP2L_CSB_2_5,1,2,5,POP2L X CSB
12,POP2L_CSB_2_5,1,2,5,POP2L X CSB
12,POP2L_CSB_2_5,1,2,5,POP2L X CSB
12,POP2L_CSB_2_5,1,2,5,POP2L X CSB
12,POP2L_CSB_2_5,1,2,5,POP2L X CSB
12,POP2L_CSB_2_5,1,2,5,POP2L X CSB
13,POP2L_CSB_2_5,1,2,5,POP2L X CSB
13,POP2L_CSB_2_5,1,2,5,POP2L X CSB
14,POP2L_CSB_2_5,1,2,5,POP2L X CSB
21,CSB_POP2H_2_1,1,2,1,CSB X POP2H
21,CSB_POP2H_2_1,1,2,1,CSB X POP2H
24,CSB_POP2H_2_1,1,2,1,CSB X POP2H
24,CSB_POP2H_2_1,1,2,1,CSB X POP2H
24,CSB_POP2H_2_1,1,2,1,CSB X POP2H
28,CSB_POP2H_2_1,1,2,1,CSB X POP2H
28,CSB_POP2H_2_1,1,2,1,CSB X POP2H
28,CSB_POP2H_2_1,1,2,1,CSB X POP2H
32,CSB_POP2H_2_1,1,2,1,CSB X POP2H
38,CSB_POP2H_2_1,1,2,1,CSB X POP2H
12,CSB_POP2H_2_2,1,2,2,CSB X POP2H
24,CSB_POP2H_2_2,1,2,2,CSB X POP2H
24,CSB_POP2H_2_2,1,2,2,CSB X POP2H
27,CSB_POP2H_2_2,1,2,2,CSB X POP2H
28,CSB_POP2H_2_2,1,2,2,CSB X POP2H
28,CSB_POP2H_2_2,1,2,2,CSB X POP2H
28,CSB_POP2H_2_2,1,2,2,CSB X POP2H
30,CSB_POP2H_2_2,1,2,2,CSB X POP2H
31,CSB_POP2H_2_2,1,2,2,CSB X POP2H
34,CSB_POP2H_2_2,1,2,2,CSB X POP2H
25,CSB_POP2H_2_3,1,2,3,CSB X POP2H
27,CSB_POP2H_2_3,1,2,3,CSB X POP2H
27,CSB_POP2H_2_3,1,2,3,CSB X POP2H
27,CSB_POP2H_2_3,1,2,3,CSB X POP2H
27,CSB_POP2H_2_3,1,2,3,CSB X POP2H
30,CSB_POP2H_2_3,1,2,3,CSB X POP2H
31,CSB_POP2H_2_3,1,2,3,CSB X POP2H
32,CSB_POP2H_2_3,1,2,3,CSB X POP2H
32,CSB_POP2H_2_3,1,2,3,CSB X POP2H
34,CSB_POP2H_2_3,1,2,3,CSB X POP2H
27,CSB_POP2H_2_4,1,2,4,CSB X POP2H
28,CSB_POP2H_2_4,1,2,4,CSB X POP2H
29,CSB_POP2H_2_4,1,2,4,CSB X POP2H
30,CSB_POP2H_2_4,1,2,4,CSB X POP2H
30,CSB_POP2H_2_4,1,2,4,CSB X POP2H
30,CSB_POP2H_2_4,1,2,4,CSB X POP2H
30,CSB_POP2H_2_4,1,2,4,CSB X POP2H
32,CSB_POP2H_2_4,1,2,4,CSB X POP2H
34,CSB_POP2H_2_4,1,2,4,CSB X POP2H
34,CSB_POP2H_2_4,1,2,4,CSB X POP2H
20,CSB_POP2H_2_5,1,2,5,CSB X POP2H
24,CSB_POP2H_2_5,1,2,5,CSB X POP2H
27,CSB_POP2H_2_5,1,2,5,CSB X POP2H
27,CSB_POP2H_2_5,1,2,5,CSB X POP2H
27,CSB_POP2H_2_5,1,2,5,CSB X POP2H
27,CSB_POP2H_2_5,1,2,5,CSB X POP2H
28,CSB_POP2H_2_5,1,2,5,CSB X POP2H
31,CSB_POP2H_2_5,1,2,5,CSB X POP2H
32,CSB_POP2H_2_5,1,2,5,CSB X POP2H
32,CSB_POP2H_2_5,1,2,5,CSB X POP2H
7,POP2H_CSB_2_1,1,2,1,POP2H X CSB
7,POP2H_CSB_2_1,1,2,1,POP2H X CSB
7,POP2H_CSB_2_1,1,2,1,POP2H X CSB
7,POP2H_CSB_2_1,1,2,1,POP2H X CSB
7,POP2H_CSB_2_1,1,2,1,POP2H X CSB
8,POP2H_CSB_2_1,1,2,1,POP2H X CSB
8,POP2H_CSB_2_1,1,2,1,POP2H X CSB
8,POP2H_CSB_2_1,1,2,1,POP2H X CSB
8,POP2H_CSB_2_1,1,2,1,POP2H X CSB
9,POP2H_CSB_2_1,1,2,1,POP2H X CSB
7,POP2H_CSB_2_2,1,2,2,POP2H X CSB
7,POP2H_CSB_2_2,1,2,2,POP2H X CSB
7,POP2H_CSB_2_2,1,2,2,POP2H X CSB
7,POP2H_CSB_2_2,1,2,2,POP2H X CSB
8,POP2H_CSB_2_2,1,2,2,POP2H X CSB
8,POP2H_CSB_2_2,1,2,2,POP2H X CSB
8,POP2H_CSB_2_2,1,2,2,POP2H X CSB
8,POP2H_CSB_2_2,1,2,2,POP2H X CSB
8,POP2H_CSB_2_2,1,2,2,POP2H X CSB
8,POP2H_CSB_2_2,1,2,2,POP2H X CSB
7,POP2H_CSB_2_3,1,2,3,POP2H X CSB
7,POP2H_CSB_2_3,1,2,3,POP2H X CSB
7,POP2H_CSB_2_3,1,2,3,POP2H X CSB
8,POP2H_CSB_2_3,1,2,3,POP2H X CSB
8,POP2H_CSB_2_3,1,2,3,POP2H X CSB
8,POP2H_CSB_2_3,1,2,3,POP2H X CSB
8,POP2H_CSB_2_3,1,2,3,POP2H X CSB
8,POP2H_CSB_2_3,1,2,3,POP2H X CSB
8,POP2H_CSB_2_3,1,2,3,POP2H X CSB
8,POP2H_CSB_2_3,1,2,3,POP2H X CSB
7,POP2H_CSB_2_4,1,2,4,POP2H X CSB
7,POP2H_CSB_2_4,1,2,4,POP2H X CSB
7,POP2H_CSB_2_4,1,2,4,POP2H X CSB
7,POP2H_CSB_2_4,1,2,4,POP2H X CSB
7,POP2H_CSB_2_4,1,2,4,POP2H X CSB
7,POP2H_CSB_2_4,1,2,4,POP2H X CSB
7,POP2H_CSB_2_4,1,2,4,POP2H X CSB
8,POP2H_CSB_2_4,1,2,4,POP2H X CSB
8,POP2H_CSB_2_4,1,2,4,POP2H X CSB
8,POP2H_CSB_2_4,1,2,4,POP2H X CSB
7,POP2H_CSB_2_5,1,2,5,POP2H X CSB
7,POP2H_CSB_2_5,1,2,5,POP2H X CSB
7,POP2H_CSB_2_5,1,2,5,POP2H X CSB
7,POP2H_CSB_2_5,1,2,5,POP2H X CSB
7,POP2H_CSB_2_5,1,2,5,POP2H X CSB
8,POP2H_CSB_2_5,1,2,5,POP2H X CSB
8,POP2H_CSB_2_5,1,2,5,POP2H X CSB
8,POP2H_CSB_2_5,1,2,5,POP2H X CSB
8,POP2H_CSB_2_5,1,2,5,POP2H X CSB
8,POP2H_CSB_2_5,1,2,5,POP2H X CSB
